Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR JAN 2025 0,CR JAN 2025 1,CR JAN 2025 2,CR JAN 2025 3,CR JUL 2025 0,CR JUL 2025 1,CR JUL 2025 2,CR JUL 2025 3
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",PATHOLOGY,-,-,-,-,-,1300,1501,1771,2775,988,1818,2331,1488
JIMPER-Inst. Pref,INST (JIPMER),Pondicherry,"JIPMER, Puducherry",PMR,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL SURGERY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Madhya Pradesh,"AIIMS, Bhopal",CARDIO THORACIC AND VASCULAR SURGERY 6 YRS,-,-,-,-,-,-,1593,1593,2588,-,-,-,-
JIPMER-All India,SC,Pondicherry,"JIPMER, Puducherry",GENERAL SURGERY,-,-,-,-,-,2931,2931,3587,3721,2666,2567,3186,-
PGIMER-All India,SC,Chandigarh,"PGIMER, Chandigarh",OBG,-,-,-,-,-,933,1232,3064,3311,2906,3039,3039,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Rajasthan,"AIIMS, Jodhpur",PAEDIATRIC SURGERY 6 YRS,-,-,-,-,-,-,-,-,-,2101,3024,7945,7945
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttarakhand,"AIIMS, Rishikesh",RADIATION ONCOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,SC,Bihar,"AIIMS, Patna",PAEDIATRICS,-,-,-,-,-,-,-,-,-,3049,3049,3049,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",OBG,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,-,-,4668,25404
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",FORENSIC MEDICINE,-,-,-,-,-,2037,7585,8108,-,4163,4750,7931,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",NUCLEAR MEDICINE,-,-,-,-,-,1360,1360,1360,-,-,-,-,-
AIIMS-All India,OBC,Bihar,"AIIMS, Patna",PATHOLOGY,-,-,-,-,-,2642,2704,4623,4623,-,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",PATHOLOGY,-,-,-,-,-,2330,3583,4525,5586,1668,2938,4063,6505
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttar Pradesh,"AIIMS, Rai Bareli",NEUROSURGERY 6 YRS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",OPHTHALMOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,West Bengal,"AIIMS, Kalyani",ENT,-,-,-,-,-,12263,9793,12263,-,-,-,-,-
AIIMS-All India,UR,Jharkhand,"AIIMS, Deoghar",FORENSIC MEDICINE,-,-,-,-,-,4091,5005,8091,-,-,-,-,32518
AIIMS-All India,EWS,Madhya Pradesh,"AIIMS, Bhopal",FAMILY MEDICINE,-,-,-,-,-,2137,3122,-,-,-,-,-,-
PGIMER-Rural,UR-RA,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,-,-,-,-,-,4270,4270,5986,9007,2333,4979,6039,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",HOSPITAL ADMINISTRATION,-,-,-,-,-,-,-,-,-,2037,3740,6504,7190
AIIMS-All India,UR,West Bengal,"AIIMS, Kalyani",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,2274,4010,4860,34895
AIIMS-All India,UR,Bihar,"AIIMS, Patna",MICROBIOLOGY,-,-,-,-,-,-,3826,6522,7768,2610,-,3974,-
AIIMS-All India,OBC,Gujarat,"AIIMS, Rajkot",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,EWS,Punjab,"AIIMS, Bathinda",ANAESTHESIOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",PATHOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttarakhand,"AIIMS, Rishikesh",OPHTHALMOLOGY,-,-,-,-,-,958,450,958,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Madhya Pradesh,"AIIMS, Bhopal",ANAESTHESIOLOGY,-,-,-,-,-,2564,2597,3955,7524,1915,2308,4594,-
AIIMS-All India,OBC,Maharashtra,"AIIMS, Nagpur",PATHOLOGY,-,-,-,-,-,2243,3333,3997,6765,2358,3836,5670,6854
JIMPER-Inst. Pref,INST (JIPMER),Pondicherry,"JIPMER, Puducherry",PHARMACOLOGY,-,-,-,-,-,-,-,6342,-,4863,4863,5806,-
AIIMS-All India,EWS,Jharkhand,"AIIMS, Deoghar",ANAESTHESIOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",FORENSIC MEDICINE,-,-,-,-,-,-,4852,8052,-,-,4035,4304,10287
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",BIOCHEMISTRY,-,-,-,-,-,4097,1728,8661,18246,-,-,6113,29341
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",COMMUNITY MEDICINE,-,-,-,-,-,3590,4324,4324,4324,-,-,-,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,1801,1801,1801,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",ENT,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL SURGERY,-,-,-,-,-,-,-,-,-,1279,1279,2194,-
AIIMS-All India,SC,Madhya Pradesh,"AIIMS, Bhopal",NUCLEAR MEDICINE,-,-,-,-,-,2076,2076,2076,2076,-,-,-,-
AIIMS-All India,SC,Rajasthan,"AIIMS, Jodhpur",DERMATOLOGY,-,-,-,-,-,740,740,-,-,1974,674,674,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,1785,3725,7802,8977
AIIMS-All India,SC,Maharashtra,"AIIMS, Nagpur",PAEDIATRICS,-,-,-,-,-,-,-,-,-,2891,2128,3127,-
AIIMS-All India,ST,Rajasthan,"AIIMS, Jodhpur",GENERAL MEDICINE,-,-,-,-,-,2162,2162,2162,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttar Pradesh,"AIIMS, Rai Bareli",OPHTHALMOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,SC,Chhattisgarh,"AIIMS, Raipur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,2102,2102,2102,-
AIIMS-All India,SC,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRICS,-,-,-,-,-,1810,1810,2022,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttarakhand,"AIIMS, Rishikesh",PLASTIC SURGERY 6 YRS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,SC,Uttarakhand,"AIIMS, Rishikesh",OBG,-,-,-,-,-,1466,1567,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Chhattisgarh,"AIIMS, Raipur",ANAESTHESIOLOGY,-,-,-,-,-,3201,4026,5173,-,2462,2462,4677,6982
AIIMS-All India,EWS,Rajasthan,"AIIMS, Jodhpur",COMMUNITY MEDICINE,-,-,-,-,-,-,-,-,-,4736,4736,7939,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Odisha,"AIIMS, Bhubaneswar",ENT,-,-,-,-,-,-,-,-,-,1139,1139,1139,1139
AIIMS-All India,OBC,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",IHBT,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Maharashtra,"AIIMS, Nagpur",PAEDIATRIC SURGERY 6 YRS,-,-,-,-,-,-,-,-,-,4144,4144,9529,7529
PGIMER-All India,SC,Chandigarh,"PGIMER, Chandigarh",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,2750,2750,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Odisha,"AIIMS, Bhubaneswar",ANAESTHESIOLOGY,-,-,-,-,-,-,2241,2241,2241,-,-,1245,-
AIIMS-All India,OBC,Telangana,"AIIMS, Bibinagar",PATHOLOGY,-,-,-,-,-,3248,4061,4917,8039,-,-,-,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",OPHTHALMOLOGY,-,-,-,-,-,2152,3072,2694,4937,517,656,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttarakhand,"AIIMS, Rishikesh",EMERGENCY MEDICINE,-,-,-,-,-,-,1902,-,-,3169,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",BIOCHEMISTRY,-,-,-,-,-,1094,4352,5513,16510,-,-,3538,11461
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",MICROBIOLOGY,-,-,-,-,-,2920,4097,5121,-,-,2697,3124,24262
AIIMS-All India,SC,Uttarakhand,"AIIMS, Rishikesh",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Jharkhand,"AIIMS, Deoghar",GENERAL SURGERY,-,-,-,-,-,-,-,-,-,-,5171,-,-
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",MICROBIOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,SC,Maharashtra,"AIIMS, Nagpur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,1769,1769,1769,-
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",COMMUNITY MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,EWS,Telangana,"AIIMS, Bibinagar",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
JIPMER-All India,SC,Pondicherry,"JIPMER, Puducherry",EMERGENCY MEDICINE,-,-,-,-,-,-,4596,5237,-,-,-,-,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",COMMUNITY MEDICINE,-,-,-,-,-,4278,6488,7061,9024,-,-,-,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",MICROBIOLOGY,-,-,-,-,-,-,-,5772,-,-,-,-,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",MICROBIOLOGY,-,-,-,-,-,-,-,-,-,3621,5124,12041,13034
JIPMER-All India,ST,Pondicherry,"JIPMER, Puducherry",PAEDIATRICS,-,-,-,-,-,-,4506,-,-,-,-,-,6339
NIMHANS-NE Domicile,OBC-North East Domicile,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,-,-,-,-,-,-,-,-,-,2212,2212,-,-
AIIMS-All India,OBC,Uttar Pradesh,"AIIMS, Gorakhpur",PATHOLOGY,-,-,-,-,-,3500,4043,4535,7465,-,-,-,-
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,ST,Delhi,"AIIMS, Delhi",PAEDIATRICS,-,-,-,-,-,1894,3374,3374,-,-,-,-,-
AIIMS-All India,SC,Punjab,"AIIMS, Bathinda",DERMATOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Maharashtra,"AIIMS, Nagpur",ANAESTHESIOLOGY,-,-,-,-,-,2135,-,-,-,8690,9125,18226,18226
AIIMS-All India,UR,West Bengal,"AIIMS, Kalyani",PHARMACOLOGY,-,-,-,-,-,-,-,-,20686,-,-,-,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",IHBT,-,-,-,-,-,-,-,-,-,2020,2020,3161,11488
JIPMER-All India,SC,Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,-,-,-,-,-,4957,3705,-,4781,2744,5314,5546,6223
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",COMMUNITY MEDICINE,-,-,-,-,-,2684,5186,6070,15244,-,-,-,-
PGIMER-All India,SC,Chandigarh,"PGIMER, Chandigarh",PSYCHIATRY,-,-,-,-,-,2388,1185,-,-,-,-,-,-
AIIMS-All India,SC,Maharashtra,"AIIMS, Nagpur",OBG,-,-,-,-,-,3356,3356,-,-,-,-,-,-
AIIMS-All India,OBC,Assam,"AIIMS, Guwahati",PATHOLOGY,-,-,-,-,-,3692,3973,5788,7727,2986,4709,6505,12850
AIIMS-All India,OBC,Bihar,"AIIMS, Patna",PMR,-,-,-,-,-,-,-,-,-,3437,3437,6282,6282
AIIMS-All India,OBC,Telangana,"AIIMS, Bibinagar",PMR,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",PHYSIOLOGY,-,-,-,-,-,-,5420,-,-,3251,4644,5873,22002
AIIMS-All India,EWS,Chhattisgarh,"AIIMS, Raipur",PMR,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Uttar Pradesh,"AIIMS, Rai Bareli",PATHOLOGY,-,-,-,-,-,-,-,-,-,3708,5262,7825,14415
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",PHARMACOLOGY,-,-,-,-,-,4305,4305,4305,-,-,-,-,16943
AIIMS-All India,SC,Rajasthan,"AIIMS, Jodhpur",OBG,-,-,-,-,-,-,-,-,-,3039,3323,3323,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",HOSPITAL ADMINISTRATION,-,-,-,-,-,-,-,-,-,2373,4941,8834,-
AIIMS-All India,OBC,Punjab,"AIIMS, Bathinda",COMMUNITY & FAMILY MEDICINE,-,-,-,-,-,4330,5574,7711,7711,-,-,-,-
PGIMER-All India,OBC-PwD,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,-,-,-,-,-,20074,-,-,-,-,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",IHBT,-,-,-,-,-,-,-,-,-,2108,2422,6213,14994
AIIMS-All India,ST,Bihar,"AIIMS, Patna",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
JIPMER-All India,EWS,Pondicherry,"JIPMER, Puducherry",PATHOLOGY,-,-,-,-,-,1138,1138,3039,7256,2007,3614,4476,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Chhattisgarh,"AIIMS, Raipur",FAMILY MEDICINE,-,-,-,-,-,3526,867,867,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Punjab,"AIIMS, Bathinda",ENT,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",FORENSIC MEDICINE,-,-,-,-,-,4874,6437,11766,19658,-,-,-,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",IHBT,-,-,-,-,-,2635,2332,5382,7777,-,-,-,-
JIPMER-All India,SC,Pondicherry,"JIPMER, Puducherry",ORTHOPAEDICS,-,-,-,-,-,3053,2434,-,-,3865,3731,3868,-
AIIMS-All India,SC,Gujarat,"AIIMS, Rajkot",DERMATOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Andhra Pradesh,"AIIMS, Mangalagiri",EMERGENCY MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,SC,Punjab,"AIIMS, Bathinda",PAEDIATRICS,-,-,-,-,-,-,-,-,-,-,-,-,-
PGIMER-Rural,UR-RA,Chandigarh,"PGIMER, Chandigarh",ANAESTHESIOLOGY,-,-,-,-,-,5048,5048,-,-,4286,-,-,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",MICROBIOLOGY,-,-,-,-,-,4671,4671,9523,7492,-,-,-,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",EMERGENCY MEDICINE,-,-,-,-,-,2417,3018,3018,-,1949,3482,-,-
JIPMER-All India,SC,Pondicherry,"JIPMER, Puducherry",ENT,-,-,-,-,-,-,-,4999,-,-,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",LAB MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",GENERAL SURGERY,-,-,-,-,-,1598,1281,-,-,338,338,2567,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",ANATOMY,-,-,-,-,-,-,-,-,22100,1954,-,5772,42296
AIIMS-All India,SC,Punjab,"AIIMS, Bathinda",ORTHOPAEDICS,-,-,-,-,-,3698,3468,5252,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,-,-,-,-,-,5511,10202,19947,20837,4813,3929,12733,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Telangana,"AIIMS, Bibinagar",PMR,-,-,-,-,-,-,-,-,-,4596,-,-,-
AIIMS-All India,OBC,Assam,"AIIMS, Guwahati",PMR,-,-,-,-,-,-,-,-,-,-,-,-,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",HOSPITAL ADMINISTRATION,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Assam,"AIIMS, Guwahati",COMMUNITY & FAMILY MEDICINE,-,-,-,-,-,-,-,-,-,4529,4494,7832,18413
AIIMS-Inst. Pref,UR-AIIMS-IP,Maharashtra,"AIIMS, Nagpur",PATHOLOGY,-,-,-,-,-,-,-,-,-,-,13481,42218,-
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",BIOCHEMISTRY,-,-,-,-,-,5575,5535,9489,22814,4124,4124,6941,42785
AIIMS-All India,SC,Odisha,"AIIMS, Bhubaneswar",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,ST,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,SC,Uttar Pradesh,"AIIMS, Gorakhpur",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,ST,Delhi,"AIIMS, Delhi",OBG,-,-,-,-,-,1553,1553,-,-,2146,2146,-,-
AIIMS-All India,EWS,Rajasthan,"AIIMS, Jodhpur",PATHOLOGY,-,-,-,-,-,-,-,-,-,3318,3999,3999,-
AIIMS-All India,SC,Uttarakhand,"AIIMS, Rishikesh",RADIATION ONCOLOGY,-,-,-,-,-,4946,4368,5725,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Bihar,"AIIMS, Patna",TRAUMASURG&CC (6 YRS),-,-,-,-,-,2342,1295,-,-,2164,4323,-,-
AIIMS-All India,UR-PwD,Delhi,"AIIMS, Delhi",PSYCHIATRY,-,-,-,-,-,-,-,-,-,-,-,-,-
NIMHANS-All India,SC,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,-,-,-,-,-,2051,2051,2051,-,3369,4541,4541,-
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",PALLIATIVE MEDICINE,-,-,-,-,-,2479,2479,3531,5652,-,-,-,-
AIIMS-All India,SC,Andhra Pradesh,"AIIMS, Mangalagiri",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",PHYSIOLOGY,-,-,-,-,-,7812,7812,11648,-,-,-,-,-
PGIMER-All India,SC,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,-,-,-,-,-,2201,1987,1987,-,761,1320,-,-
AIIMS-All India,ST,Gujarat,"AIIMS, Rajkot",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",BIOCHEMISTRY,-,-,-,-,-,-,-,-,-,2742,3586,6052,22471
AIIMS-All India,OBC,Chhattisgarh,"AIIMS, Raipur",IHBT,-,-,-,-,-,2870,3990,5118,12427,3705,4163,5211,21195
AIIMS-All India,SC,Uttarakhand,"AIIMS, Rishikesh",GENERAL SURGERY,-,-,-,-,-,1974,2308,2308,-,-,-,-,-
AIIMS-All India,SC,Madhya Pradesh,"AIIMS, Bhopal",ENT,-,-,-,-,-,3548,3548,-,-,4781,4781,7030,-
AIIMS-All India,SC,Bihar,"AIIMS, Patna",EMERGENCY MEDICINE,-,-,-,-,-,-,-,-,-,4334,5634,6362,15727
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",ANATOMY,-,-,-,-,-,4415,7768,10544,-,-,-,-,-
AIIMS-All India,OBC,Chhattisgarh,"AIIMS, Raipur",COMMUNITY MEDICINE,-,-,-,-,-,3395,4330,7232,12658,3280,2477,7000,15533
AIIMS-All India,SC,Uttarakhand,"AIIMS, Rishikesh",PSYCHIATRY,-,-,-,-,-,2982,2483,2982,-,-,-,-,-
AIIMS-All India,SC,Assam,"AIIMS, Guwahati",GENERAL SURGERY,-,-,-,-,-,3946,4211,4781,8695,-,-,-,-
AIIMS-All India,EWS,Rajasthan,"AIIMS, Jodhpur",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",PHYSIOLOGY,-,-,-,-,-,-,-,-,22858,4480,5401,7115,22701
JIPMER-All India,SC-PwD,Pondicherry,"JIPMER, Puducherry",OPHTHALMOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttar Pradesh,"AIIMS, Rai Bareli",EMERGENCY MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
JIPMER-All India,SC,Pondicherry,"JIPMER, Puducherry",PHARMACOLOGY,-,-,-,-,-,-,-,-,14217,6828,8788,-,-
AIIMS-All India,ST,Andhra Pradesh,"AIIMS, Mangalagiri",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,SC,Jharkhand,"AIIMS, Deoghar",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,SC,Maharashtra,"AIIMS, Nagpur",ENT,-,-,-,-,-,-,-,-,-,4623,6006,7151,9258
AIIMS-Inst. Pref,UR-AIIMS-IP,Andhra Pradesh,"AIIMS, Mangalagiri",OBG,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,ST,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Jharkhand,"AIIMS, Deoghar",MICROBIOLOGY,-,-,-,-,-,7280,9834,11833,20219,-,-,-,-
AIIMS-All India,SC,West Bengal,"AIIMS, Kalyani",OPHTHALMOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,EWS,Bihar,"AIIMS, Patna",PATHOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Bihar,"AIIMS, Patna",ANAESTHESIOLOGY,-,-,-,-,-,3012,2416,4008,3047,2992,4624,5077,7299
AIIMS-All India,SC,Uttar Pradesh,"AIIMS, Gorakhpur",OBG,-,-,-,-,-,3772,4041,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttarakhand,"AIIMS, Rishikesh",GERIATRICS,-,-,-,-,-,864,-,-,-,-,-,-,-
PGIMER-All India,SC,Chandigarh,"PGIMER, Chandigarh",ANAESTHESIOLOGY,-,-,-,-,-,3487,4278,5927,7188,4341,4623,5051,8031
AIIMS-All India,SC,Madhya Pradesh,"AIIMS, Bhopal",GENERAL SURGERY,-,-,-,-,-,2308,2377,2377,-,3066,3865,4781,-
JIPMER-All India,OBC-PwD,Pondicherry,"JIPMER, Puducherry",ANATOMY,-,-,-,-,-,-,4983,-,-,-,-,-,-
AIIMS-All India,ST,Delhi,"AIIMS, Delhi",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,2871,2871,9673,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Jharkhand,"AIIMS, Deoghar",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,4062,4062,4062,-
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",ANATOMY,-,-,-,-,-,5983,6198,10847,-,4841,5014,7255,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",BIOCHEMISTRY,-,-,-,-,-,5270,6557,-,-,4709,7723,11307,29419
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",COMMUNITY MEDICINE,-,-,-,-,-,3324,5159,6772,14619,2390,3305,5576,4638
AIIMS-All India,ST,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,4029,6178,6194,-
JIMPER-Inst. Pref,INST (JIPMER),Pondicherry,"JIPMER, Puducherry",COMMUNITY MEDICINE,-,-,-,-,-,1403,2153,-,2153,1929,1852,5728,2446
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",HOSPITAL ADMINISTRATION,-,-,-,-,-,-,-,-,-,2076,6147,-,-
AIIMS-All India,OBC,Bihar,"AIIMS, Patna",COMMUNITY & FAMILY MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
PGIMER-All India,ST,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,-,-,-,-,-,3374,3401,-,-,1202,1202,-,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,-,-,-,-,-,2808,3052,5120,6320,3070,2008,2008,-
AIIMS-All India,OBC,Jammu and Kashmir,"AIIMS, Jammu",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,4952,5513,9628,38093
AIIMS-All India,EWS,Maharashtra,"AIIMS, Nagpur",COMMUNITY MEDICINE,-,-,-,-,-,3086,7176,10254,16935,-,-,-,-
AIIMS-All India,ST,Madhya Pradesh,"AIIMS, Bhopal",GENERAL SURGERY,-,-,-,-,-,-,-,-,-,7311,9662,10893,12932
AIIMS-All India,EWS,Punjab,"AIIMS, Bathinda",COMMUNITY & FAMILY MEDICINE,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-All India,SC,Chhattisgarh,"AIIMS, Raipur",EMERGENCY MEDICINE,-,-,-,-,-,4695,4695,5423,3064,-,-,-,-
AIIMS-All India,SC,Andhra Pradesh,"AIIMS, Mangalagiri",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,3119,3119,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Gujarat,"AIIMS, Rajkot",PHYSIOLOGY,-,-,-,-,-,-,-,-,-,-,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",ENT,-,-,-,-,-,-,-,-,1900,3172,3322,8623,-
