Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR JAN 2025 0,CR JAN 2025 1,CR JAN 2025 2,CR JAN 2025 3,CR JUL 2025 0,CR JUL 2025 1,CR JUL 2025 2,CR JUL 2025 3
AIIMS-All India,SC,West Bengal,"AIIMS, Kalyani",COMMUNITY MEDICINE,-,-,-,-,-,-,-,-,-,5512,5512,16701,35573
AIIMS-All India,UR,Gujarat,"AIIMS, Rajkot",BIOCHEMISTRY,-,-,-,-,-,4509,6976,10078,28577,4128,4589,5706,36009
AIIMS-All India,UR,Rajasthan,"AIIMS, Jodhpur",ANATOMY,-,-,-,-,-,-,-,-,-,1752,-,5065,36011
AIIMS-All India,OBC-PwD,Chhattisgarh,"AIIMS, Raipur",OBG,-,-,-,-,-,-,-,-,-,36084,-,36084,-
AIIMS-All India,ST,Gujarat,"AIIMS, Rajkot",ENT,-,-,-,-,-,-,-,-,-,15421,16351,22668,36186
AIIMS-All India,EWS,Rajasthan,"AIIMS, Jodhpur",PHYSIOLOGY,-,-,-,-,-,-,-,-,-,13763,11347,28715,36191
AIIMS-All India,SC,Chhattisgarh,"AIIMS, Raipur",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,8909,17490,24313,36265
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",PATHOLOGY,-,-,-,-,-,-,-,-,-,-,-,36457,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",IHBT,-,-,-,-,-,-,-,-,-,5139,6096,11247,36578
AIIMS-All India,OBC,Uttar Pradesh,"AIIMS, Rai Bareli",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,4613,5202,9002,36889
AIIMS-All India,ST,Maharashtra,"AIIMS, Nagpur",EMERGENCY MEDICINE,-,-,-,-,-,-,-,-,-,13857,13525,21507,37623
AIIMS-All India,EWS,Rajasthan,"AIIMS, Jodhpur",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,5086,9148,12704,37691
AIIMS-All India,ST,Telangana,"AIIMS, Bibinagar",ANATOMY,-,-,-,-,-,-,-,-,-,27683,27683,37705,-
PGIMER-All India,SC-PwD,Chandigarh,"PGIMER, Chandigarh",ANAESTHESIOLOGY,-,-,-,-,-,-,-,-,-,37798,37798,-,-
AIIMS-All India,UR,Jammu and Kashmir,"AIIMS, Jammu",BIOCHEMISTRY,-,-,-,-,-,3654,5575,5684,3247,4468,2538,6551,38010
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Rai Bareli",PHYSIOLOGY,-,-,-,-,-,-,-,-,22285,4356,5308,7006,38095
AIIMS-All India,OBC,Gujarat,"AIIMS, Rajkot",BIOCHEMISTRY,-,-,-,-,-,-,-,-,-,5471,10037,14468,38663
AIIMS-All India,OBC-PwD,Maharashtra,"AIIMS, Nagpur",PAEDIATRICS,-,-,-,-,-,-,-,-,-,38833,-,-,-
AIIMS-All India,UR,Uttar Pradesh,"AIIMS, Rai Bareli",BIOCHEMISTRY,-,-,-,-,-,5535,6742,10320,-,-,-,-,39169
AIIMS-All India,ST,Assam,"AIIMS, Guwahati",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,27511,29222,39206,-
AIIMS-All India,ST,Assam,"AIIMS, Guwahati",ANATOMY,-,-,-,-,-,29872,23673,-,-,31313,27885,39301,-
AIIMS-All India,ST,West Bengal,"AIIMS, Kalyani",ENT,-,-,-,-,-,9991,12417,14076,16421,14521,16840,24310,39814
AIIMS-All India,ST,Jammu and Kashmir,"AIIMS, Jammu",ANATOMY,-,-,-,-,-,-,-,-,-,21879,21879,39852,-
AIIMS-All India,EWS,Odisha,"AIIMS, Bhubaneswar",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,4994,6214,21533,39894
AIIMS-All India,UR-PwD,Delhi,"AIIMS, Delhi",HOSPITAL ADMINISTRATION,-,-,-,-,-,-,-,-,-,39968,39968,-,-
AIIMS-All India,OBC-PwD,Bihar,"AIIMS, Patna",OBG,-,-,-,-,-,-,-,-,-,40379,36416,-,-
AIIMS-All India,OBC-PwD,Assam,"AIIMS, Guwahati",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,36416,36084,40379,-
AIIMS-All India,OBC-PwD,Uttar Pradesh,"AIIMS, Rai Bareli",OBG,-,-,-,-,-,-,-,-,-,-,40379,41024,-
AIIMS-All India,EWS-PwD,Maharashtra,"AIIMS, Nagpur",PAEDIATRICS,-,-,-,-,-,-,-,-,-,-,41204,-,-
JIPMER-All India,EWS-PwD,Pondicherry,"JIPMER, Puducherry",ENT,-,-,-,-,-,-,-,-,-,41204,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Rajasthan,"AIIMS, Jodhpur",PATHOLOGY,-,-,-,-,-,-,-,6315,6315,-,10938,-,41225
JIPMER-All India,SC-PwD,Pondicherry,"JIPMER, Puducherry",DERMATOLOGY,-,-,-,-,-,-,-,-,-,41387,41387,2088,-
AIIMS-All India,UR,Jharkhand,"AIIMS, Deoghar",BIOCHEMISTRY,-,-,-,-,-,-,-,-,-,-,-,-,42376
AIIMS-All India,ST,Jharkhand,"AIIMS, Deoghar",BIOCHEMISTRY,-,-,-,-,-,-,-,-,-,26885,31313,42564,-
AIIMS-All India,ST,Rajasthan,"AIIMS, Jodhpur",MICROBIOLOGY,-,-,-,-,-,-,-,-,-,20168,22961,33823,42701
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",ANATOMY,-,-,-,-,-,7647,11705,15425,-,6364,4909,10746,42756
