Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR JAN 2026 0,CR JAN 2026 1,CR JAN 2026 2,CR JAN 2026 3,CR JUL 2026 0,CR JUL 2026 1,CR JUL 2026 2,CR JUL 2026 3
PGIMER-Rural,UR-RA,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,-,-,-,-,-,966,966,-,-,2224,-,-,-
AIIMS-All India,EWS,Bihar,"AIIMS, Patna",ANAESTHESIOLOGY,-,-,-,-,-,1962,1962,2309,2757,2226,-,-,-
AIIMS-All India,UR,Telangana,"AIIMS, Bibinagar",MICROBIOLOGY,-,-,-,-,-,-,-,-,18463,2229,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",PALLIATIVE MEDICINE,-,-,-,-,-,-,-,-,-,2230,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",BIOPHYSICS,-,-,-,-,-,4357,4368,4925,5501,2269,-,-,-
JIMPER-Inst. Pref,INST (JIPMER),Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,-,-,-,-,-,1507,1678,2709,-,2278,-,-,-
AIIMS-All India,EWS,Uttar Pradesh,"AIIMS, Rai Bareli",ENT,-,-,-,-,-,1681,1877,1877,2754,2293,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Odisha,"AIIMS, Bhubaneswar",PAEDIATRIC SURGERY 6 YRS,-,-,-,-,-,1959,-,-,-,2303,-,-,-
AIIMS-All India,ST,Rajasthan,"AIIMS, Jodhpur",GENERAL SURGERY,-,-,-,-,-,-,-,-,-,2313,-,-,-
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",COMMUNITY & FAMILY MEDICINE,-,-,-,-,-,2279,2279,4123,6604,2328,-,-,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",PATHOLOGY,-,-,-,-,-,1595,1693,2404,-,2330,-,-,-
JIMPER-Inst. Pref,INST (JIPMER),Pondicherry,"JIPMER, Puducherry",PMR,-,-,-,-,-,2171,-,-,-,2335,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL SURGERY,-,-,-,-,-,697,920,2256,-,2353,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Madhya Pradesh,"AIIMS, Bhopal",CARDIO THORACIC AND VASCULAR SURGERY 6 YRS,-,-,-,-,-,1556,1556,5931,2445,2373,-,-,-
JIPMER-All India,SC,Pondicherry,"JIPMER, Puducherry",GENERAL SURGERY,-,-,-,-,-,-,992,766,-,2381,-,-,-
PGIMER-All India,SC,Chandigarh,"PGIMER, Chandigarh",OBG,-,-,-,-,-,2339,2548,2816,3462,2390,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Rajasthan,"AIIMS, Jodhpur",PAEDIATRIC SURGERY 6 YRS,-,-,-,-,-,-,1871,1924,2100,2401,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttarakhand,"AIIMS, Rishikesh",RADIATION ONCOLOGY,-,-,-,-,-,-,-,-,-,2403,-,-,-
AIIMS-All India,SC,Bihar,"AIIMS, Patna",PAEDIATRICS,-,-,-,-,-,-,-,-,-,2419,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",OBG,-,-,-,-,-,-,-,-,-,2420,-,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,2423,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",FORENSIC MEDICINE,-,-,-,-,-,3365,4837,9889,-,2434,-,-,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",NUCLEAR MEDICINE,-,-,-,-,-,388,388,-,-,2440,-,-,-
AIIMS-All India,OBC,Bihar,"AIIMS, Patna",PATHOLOGY,-,-,-,-,-,2882,4425,5228,8953,2442,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",PATHOLOGY,-,-,-,-,-,2758,3126,4736,8764,2453,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttar Pradesh,"AIIMS, Rai Bareli",NEUROSURGERY 6 YRS,-,-,-,-,-,-,-,-,-,2454,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",OPHTHALMOLOGY,-,-,-,-,-,-,-,-,-,2464,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,West Bengal,"AIIMS, Kalyani",ENT,-,-,-,-,-,2814,2814,-,-,2471,-,-,-
AIIMS-All India,UR,Jharkhand,"AIIMS, Deoghar",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,2477,-,-,-
AIIMS-All India,EWS,Madhya Pradesh,"AIIMS, Bhopal",FAMILY MEDICINE,-,-,-,-,-,-,-,-,-,2484,-,-,-
PGIMER-Rural,UR-RA,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,-,-,-,-,-,2394,2910,-,-,2486,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",HOSPITAL ADMINISTRATION,-,-,-,-,-,681,681,4261,8207,2489,-,-,-
AIIMS-All India,UR,West Bengal,"AIIMS, Kalyani",FORENSIC MEDICINE,-,-,-,-,-,-,3717,5711,21286,2506,-,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",MICROBIOLOGY,-,-,-,-,-,2638,3547,4844,-,2508,-,-,-
AIIMS-All India,OBC,Gujarat,"AIIMS, Rajkot",FORENSIC MEDICINE,-,-,-,-,-,6025,7239,11264,24810,2536,-,-,-
AIIMS-All India,EWS,Punjab,"AIIMS, Bathinda",ANAESTHESIOLOGY,-,-,-,-,-,2125,2594,2594,2594,2538,-,-,-
AIIMS-All India,OBC,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",PATHOLOGY,-,-,-,-,-,-,-,-,-,2542,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttarakhand,"AIIMS, Rishikesh",OPHTHALMOLOGY,-,-,-,-,-,300,2156,708,708,2557,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Madhya Pradesh,"AIIMS, Bhopal",ANAESTHESIOLOGY,-,-,-,-,-,2585,4630,-,-,2568,-,-,-
AIIMS-All India,OBC,Maharashtra,"AIIMS, Nagpur",PATHOLOGY,-,-,-,-,-,-,-,-,-,2569,-,-,-
JIMPER-Inst. Pref,INST (JIPMER),Pondicherry,"JIPMER, Puducherry",PHARMACOLOGY,-,-,-,-,-,4111,-,-,-,2575,-,-,-
AIIMS-All India,EWS,Jharkhand,"AIIMS, Deoghar",ANAESTHESIOLOGY,-,-,-,-,-,-,-,-,-,2607,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",FORENSIC MEDICINE,-,-,-,-,-,-,-,5411,21113,2608,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",BIOCHEMISTRY,-,-,-,-,-,4115,4709,7930,22146,2613,-,-,-
AIIMS-All India,OBC,Madhya Pradesh,"AIIMS, Bhopal",COMMUNITY MEDICINE,-,-,-,-,-,3696,4249,5438,-,2629,-,-,-
AIIMS-All India,UR,Maharashtra,"AIIMS, Nagpur",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,2630,-,-,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",ENT,-,-,-,-,-,2745,2517,-,-,2634,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL SURGERY,-,-,-,-,-,-,-,-,-,2642,-,-,-
AIIMS-All India,SC,Madhya Pradesh,"AIIMS, Bhopal",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,2652,-,-,-
AIIMS-All India,SC,Rajasthan,"AIIMS, Jodhpur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,2666,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",PHARMACOLOGY,-,-,-,-,-,2941,1548,-,1548,2687,-,-,-
AIIMS-All India,SC,Maharashtra,"AIIMS, Nagpur",PAEDIATRICS,-,-,-,-,-,2047,1893,2047,3910,2692,-,-,-
AIIMS-All India,ST,Rajasthan,"AIIMS, Jodhpur",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,2701,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttar Pradesh,"AIIMS, Rai Bareli",OPHTHALMOLOGY,-,-,-,-,-,3270,2232,-,-,2702,-,-,-
AIIMS-All India,SC,Chhattisgarh,"AIIMS, Raipur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,2723,-,-,-
AIIMS-All India,SC,Madhya Pradesh,"AIIMS, Bhopal",PAEDIATRICS,-,-,-,-,-,-,-,-,-,2730,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttarakhand,"AIIMS, Rishikesh",PLASTIC SURGERY 6 YRS,-,-,-,-,-,-,-,1614,-,2735,-,-,-
AIIMS-All India,SC,Uttarakhand,"AIIMS, Rishikesh",OBG,-,-,-,-,-,2517,2660,-,-,2743,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Chhattisgarh,"AIIMS, Raipur",ANAESTHESIOLOGY,-,-,-,-,-,1780,2012,2529,6008,2745,-,-,-
AIIMS-All India,EWS,Rajasthan,"AIIMS, Jodhpur",COMMUNITY MEDICINE,-,-,-,-,-,-,-,-,-,2746,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Odisha,"AIIMS, Bhubaneswar",ENT,-,-,-,-,-,2369,2854,3585,-,2753,-,-,-
AIIMS-All India,OBC,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",IHBT,-,-,-,-,-,-,-,-,-,2781,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Maharashtra,"AIIMS, Nagpur",PAEDIATRIC SURGERY 6 YRS,-,-,-,-,-,2598,3097,2560,3267,2790,-,-,-
PGIMER-All India,SC,Chandigarh,"PGIMER, Chandigarh",ORTHOPAEDICS,-,-,-,-,-,1802,1802,1802,1802,2800,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Odisha,"AIIMS, Bhubaneswar",ANAESTHESIOLOGY,-,-,-,-,-,2495,2780,4127,-,2803,-,-,-
AIIMS-All India,OBC,Telangana,"AIIMS, Bibinagar",PATHOLOGY,-,-,-,-,-,2262,3850,3850,11345,2821,-,-,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",OPHTHALMOLOGY,-,-,-,-,-,2116,2116,-,-,2823,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttarakhand,"AIIMS, Rishikesh",EMERGENCY MEDICINE,-,-,-,-,-,-,-,2632,1614,2828,-,-,-
JIPMER-All India,UR,Pondicherry,"JIPMER, Puducherry",BIOCHEMISTRY,-,-,-,-,-,2160,-,-,15912,2836,-,-,-
AIIMS-All India,UR,Chhattisgarh,"AIIMS, Raipur",MICROBIOLOGY,-,-,-,-,-,-,-,-,12284,2837,-,-,-
AIIMS-All India,SC,Uttarakhand,"AIIMS, Rishikesh",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,2853,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Jharkhand,"AIIMS, Deoghar",GENERAL SURGERY,-,-,-,-,-,-,-,-,-,2890,-,-,-
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",MICROBIOLOGY,-,-,-,-,-,-,4217,5229,17956,2896,-,-,-
AIIMS-All India,SC,Maharashtra,"AIIMS, Nagpur",DERMATOLOGY,-,-,-,-,-,-,-,-,-,2914,-,-,-
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",COMMUNITY MEDICINE,-,-,-,-,-,3370,2747,4573,8153,2925,-,-,-
AIIMS-All India,EWS,Telangana,"AIIMS, Bibinagar",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,2929,-,-,-
JIPMER-All India,SC,Pondicherry,"JIPMER, Puducherry",EMERGENCY MEDICINE,-,-,-,-,-,-,-,4872,4872,2950,-,-,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",COMMUNITY MEDICINE,-,-,-,-,-,2896,4267,5184,-,2962,-,-,-
JIPMER-All India,OBC,Pondicherry,"JIPMER, Puducherry",MICROBIOLOGY,-,-,-,-,-,-,-,-,5917,2965,-,-,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",MICROBIOLOGY,-,-,-,-,-,-,-,-,-,2969,-,-,-
JIPMER-All India,ST,Pondicherry,"JIPMER, Puducherry",PAEDIATRICS,-,-,-,-,-,-,-,-,-,2978,-,-,-
NIMHANS-NE Domicile,OBC-North East Domicile,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,-,-,-,-,-,-,-,-,-,3001,-,-,-
AIIMS-All India,OBC,Uttar Pradesh,"AIIMS, Gorakhpur",PATHOLOGY,-,-,-,-,-,-,-,-,-,3017,-,-,-
AIIMS-All India,UR,Punjab,"AIIMS, Bathinda",PHARMACOLOGY,-,-,-,-,-,3387,3503,4564,-,3018,-,-,-
AIIMS-All India,ST,Delhi,"AIIMS, Delhi",PAEDIATRICS,-,-,-,-,-,1232,1232,-,-,3021,-,-,-
AIIMS-All India,SC,Punjab,"AIIMS, Bathinda",DERMATOLOGY,-,-,-,-,-,-,-,-,-,3036,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Maharashtra,"AIIMS, Nagpur",ANAESTHESIOLOGY,-,-,-,-,-,2097,3449,3267,-,3037,-,-,-
AIIMS-All India,UR,West Bengal,"AIIMS, Kalyani",PHARMACOLOGY,-,-,-,-,-,3133,-,6220,4963,3038,-,-,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",IHBT,-,-,-,-,-,3077,3077,5119,7905,3048,-,-,-
JIPMER-All India,SC,Pondicherry,"JIPMER, Puducherry",ANAESTHESIOLOGY,-,-,-,-,-,4125,4158,-,-,3050,-,-,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",COMMUNITY MEDICINE,-,-,-,-,-,-,-,-,-,3064,-,-,-
PGIMER-All India,SC,Chandigarh,"PGIMER, Chandigarh",PSYCHIATRY,-,-,-,-,-,2408,2408,3089,-,3066,-,-,-
AIIMS-All India,SC,Maharashtra,"AIIMS, Nagpur",OBG,-,-,-,-,-,2816,3382,3382,-,3067,-,-,-
AIIMS-All India,OBC,Assam,"AIIMS, Guwahati",PATHOLOGY,-,-,-,-,-,3513,4519,5741,12409,3087,-,-,-
AIIMS-All India,OBC,Bihar,"AIIMS, Patna",PMR,-,-,-,-,-,-,-,-,-,3088,-,-,-
AIIMS-All India,OBC,Telangana,"AIIMS, Bibinagar",PMR,-,-,-,-,-,-,-,-,-,3095,-,-,-
AIIMS-All India,UR,Bihar,"AIIMS, Patna",PHYSIOLOGY,-,-,-,-,-,-,-,-,24304,3120,-,-,-
AIIMS-All India,EWS,Chhattisgarh,"AIIMS, Raipur",PMR,-,-,-,-,-,-,-,-,-,3155,-,-,-
AIIMS-All India,OBC,Uttar Pradesh,"AIIMS, Rai Bareli",PATHOLOGY,-,-,-,-,-,-,-,-,-,3201,-,-,-
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",PHARMACOLOGY,-,-,-,-,-,3541,3645,6146,14049,3232,-,-,-
AIIMS-All India,SC,Rajasthan,"AIIMS, Jodhpur",OBG,-,-,-,-,-,-,-,-,-,3249,-,-,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",HOSPITAL ADMINISTRATION,-,-,-,-,-,-,-,-,-,3256,-,-,-
AIIMS-All India,OBC,Punjab,"AIIMS, Bathinda",COMMUNITY & FAMILY MEDICINE,-,-,-,-,-,5217,3130,6831,10246,3277,-,-,-
PGIMER-All India,OBC-PwD,Chandigarh,"PGIMER, Chandigarh",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,3356,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",IHBT,-,-,-,-,-,3990,3990,4362,9677,3359,-,-,-
AIIMS-All India,ST,Bihar,"AIIMS, Patna",GENERAL MEDICINE,-,-,-,-,-,2555,2555,2555,-,3372,-,-,-
JIPMER-All India,EWS,Pondicherry,"JIPMER, Puducherry",PATHOLOGY,-,-,-,-,-,-,-,-,-,3394,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Chhattisgarh,"AIIMS, Raipur",FAMILY MEDICINE,-,-,-,-,-,-,-,-,-,3438,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Punjab,"AIIMS, Bathinda",ENT,-,-,-,-,-,869,869,869,-,3465,-,-,-
AIIMS-All India,OBC,Andhra Pradesh,"AIIMS, Mangalagiri",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,3500,-,-,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",IHBT,-,-,-,-,-,2640,4085,5087,8886,3505,-,-,-
JIPMER-All India,SC,Pondicherry,"JIPMER, Puducherry",ORTHOPAEDICS,-,-,-,-,-,-,-,4136,3056,3526,-,-,-
AIIMS-All India,SC,Gujarat,"AIIMS, Rajkot",DERMATOLOGY,-,-,-,-,-,-,-,-,-,3550,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Andhra Pradesh,"AIIMS, Mangalagiri",EMERGENCY MEDICINE,-,-,-,-,-,2256,-,-,-,3551,-,-,-
AIIMS-All India,SC,Punjab,"AIIMS, Bathinda",PAEDIATRICS,-,-,-,-,-,2534,1489,1489,-,3553,-,-,-
PGIMER-Rural,UR-RA,Chandigarh,"PGIMER, Chandigarh",ANAESTHESIOLOGY,-,-,-,-,-,1772,1855,4794,-,3555,-,-,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",MICROBIOLOGY,-,-,-,-,-,4408,4408,7495,7495,3562,-,-,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",EMERGENCY MEDICINE,-,-,-,-,-,-,-,-,-,3564,-,-,-
JIPMER-All India,SC,Pondicherry,"JIPMER, Puducherry",ENT,-,-,-,-,-,3374,3374,-,-,3586,-,-,-
AIIMS-All India,OBC,Delhi,"AIIMS, Delhi",LAB MEDICINE,-,-,-,-,-,2196,3906,-,-,3618,-,-,-
AIIMS-All India,SC,Delhi,"AIIMS, Delhi",GENERAL SURGERY,-,-,-,-,-,43,43,-,-,3649,-,-,-
AIIMS-All India,UR,Odisha,"AIIMS, Bhubaneswar",ANATOMY,-,-,-,-,-,3289,5918,7945,28529,3655,-,-,-
AIIMS-All India,SC,Punjab,"AIIMS, Bathinda",ORTHOPAEDICS,-,-,-,-,-,4208,4208,4992,-,3661,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,-,-,-,-,-,3462,4974,7270,-,3666,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Telangana,"AIIMS, Bibinagar",PMR,-,-,-,-,-,-,-,-,-,3698,-,-,-
AIIMS-All India,OBC,Assam,"AIIMS, Guwahati",PMR,-,-,-,-,-,2337,4050,5237,-,3704,-,-,-
PGIMER-All India,OBC,Chandigarh,"PGIMER, Chandigarh",HOSPITAL ADMINISTRATION,-,-,-,-,-,-,-,-,-,3707,-,-,-
AIIMS-All India,OBC,Assam,"AIIMS, Guwahati",COMMUNITY & FAMILY MEDICINE,-,-,-,-,-,5261,5443,-,-,3735,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Maharashtra,"AIIMS, Nagpur",PATHOLOGY,-,-,-,-,-,-,-,15584,26035,3736,-,-,-
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",BIOCHEMISTRY,-,-,-,-,-,5063,5063,8589,19287,3766,-,-,-
AIIMS-All India,SC,Odisha,"AIIMS, Bhubaneswar",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,3767,-,-,-
AIIMS-All India,ST,Odisha,"AIIMS, Bhubaneswar",RADIO DIAGNOSIS,-,-,-,-,-,2109,2237,2237,-,3782,-,-,-
AIIMS-All India,SC,Uttar Pradesh,"AIIMS, Gorakhpur",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,3797,-,-,-
AIIMS-All India,ST,Delhi,"AIIMS, Delhi",OBG,-,-,-,-,-,3920,3920,-,-,3802,-,-,-
AIIMS-All India,EWS,Rajasthan,"AIIMS, Jodhpur",PATHOLOGY,-,-,-,-,-,-,-,-,-,3809,-,-,-
AIIMS-All India,SC,Uttarakhand,"AIIMS, Rishikesh",RADIATION ONCOLOGY,-,-,-,-,-,-,-,-,-,3823,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Bihar,"AIIMS, Patna",TRAUMASURG&CC (6 YRS),-,-,-,-,-,2469,2469,3681,-,3838,-,-,-
AIIMS-All India,UR-PwD,Delhi,"AIIMS, Delhi",PSYCHIATRY,-,-,-,-,-,2259,2259,-,-,3851,-,-,-
NIMHANS-All India,SC,Karnataka,"NIMHANS, Bangalore",PSYCHIATRY,-,-,-,-,-,2717,2717,2717,4834,3943,-,-,-
AIIMS-All India,EWS,Delhi,"AIIMS, Delhi",PALLIATIVE MEDICINE,-,-,-,-,-,-,-,-,-,3964,-,-,-
AIIMS-All India,SC,Andhra Pradesh,"AIIMS, Mangalagiri",NUCLEAR MEDICINE,-,-,-,-,-,-,-,-,-,3973,-,-,-
AIIMS-All India,OBC,Uttarakhand,"AIIMS, Rishikesh",PHYSIOLOGY,-,-,-,-,-,-,-,-,-,3975,-,-,-
PGIMER-All India,SC,Chandigarh,"PGIMER, Chandigarh",GENERAL SURGERY,-,-,-,-,-,1407,1407,1407,-,3993,-,-,-
AIIMS-All India,ST,Gujarat,"AIIMS, Rajkot",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,4007,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",BIOCHEMISTRY,-,-,-,-,-,-,-,-,-,4024,-,-,-
AIIMS-All India,OBC,Chhattisgarh,"AIIMS, Raipur",IHBT,-,-,-,-,-,-,-,-,-,4025,-,-,-
AIIMS-All India,SC,Uttarakhand,"AIIMS, Rishikesh",GENERAL SURGERY,-,-,-,-,-,1929,1868,2372,-,4027,-,-,-
AIIMS-All India,SC,Madhya Pradesh,"AIIMS, Bhopal",ENT,-,-,-,-,-,4106,4995,4995,-,4033,-,-,-
AIIMS-All India,SC,Bihar,"AIIMS, Patna",EMERGENCY MEDICINE,-,-,-,-,-,-,-,-,-,4045,-,-,-
AIIMS-All India,UR,Andhra Pradesh,"AIIMS, Mangalagiri",ANATOMY,-,-,-,-,-,-,6062,9239,25089,4053,-,-,-
AIIMS-All India,OBC,Chhattisgarh,"AIIMS, Raipur",COMMUNITY MEDICINE,-,-,-,-,-,4258,5261,8207,12434,4079,-,-,-
AIIMS-All India,SC,Uttarakhand,"AIIMS, Rishikesh",PSYCHIATRY,-,-,-,-,-,-,-,-,-,4100,-,-,-
AIIMS-All India,SC,Assam,"AIIMS, Guwahati",GENERAL SURGERY,-,-,-,-,-,2832,2832,4125,-,4103,-,-,-
AIIMS-All India,EWS,Rajasthan,"AIIMS, Jodhpur",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,4122,-,-,-
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",PHYSIOLOGY,-,-,-,-,-,5106,7130,9847,23959,4148,-,-,-
JIPMER-All India,SC-PwD,Pondicherry,"JIPMER, Puducherry",OPHTHALMOLOGY,-,-,-,-,-,-,-,-,-,4153,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttar Pradesh,"AIIMS, Rai Bareli",EMERGENCY MEDICINE,-,-,-,-,-,-,-,-,-,4158,-,-,-
JIPMER-All India,SC,Pondicherry,"JIPMER, Puducherry",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,4165,-,-,-
AIIMS-All India,ST,Andhra Pradesh,"AIIMS, Mangalagiri",RADIO DIAGNOSIS,-,-,-,-,-,-,-,-,-,4177,-,-,-
AIIMS-All India,SC,Jharkhand,"AIIMS, Deoghar",ORTHOPAEDICS,-,-,-,-,-,4799,4799,5463,7091,4180,-,-,-
AIIMS-All India,SC,Maharashtra,"AIIMS, Nagpur",ENT,-,-,-,-,-,-,-,-,-,4182,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Andhra Pradesh,"AIIMS, Mangalagiri",OBG,-,-,-,-,-,569,-,-,-,4193,-,-,-
AIIMS-All India,ST,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,4197,-,-,-
AIIMS-All India,OBC,Jharkhand,"AIIMS, Deoghar",MICROBIOLOGY,-,-,-,-,-,-,-,-,-,4202,-,-,-
AIIMS-All India,SC,West Bengal,"AIIMS, Kalyani",OPHTHALMOLOGY,-,-,-,-,-,5102,4992,6053,6741,4211,-,-,-
AIIMS-All India,EWS,Bihar,"AIIMS, Patna",PATHOLOGY,-,-,-,-,-,-,-,-,-,4239,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Bihar,"AIIMS, Patna",ANAESTHESIOLOGY,-,-,-,-,-,2430,2723,4704,-,4252,-,-,-
AIIMS-All India,SC,Uttar Pradesh,"AIIMS, Gorakhpur",OBG,-,-,-,-,-,-,-,-,-,4268,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttarakhand,"AIIMS, Rishikesh",GERIATRICS,-,-,-,-,-,2143,2143,2143,-,4269,-,-,-
PGIMER-All India,SC,Chandigarh,"PGIMER, Chandigarh",ANAESTHESIOLOGY,-,-,-,-,-,3710,4125,5410,-,4280,-,-,-
AIIMS-All India,SC,Madhya Pradesh,"AIIMS, Bhopal",GENERAL SURGERY,-,-,-,-,-,-,-,-,-,4281,-,-,-
JIPMER-All India,OBC-PwD,Pondicherry,"JIPMER, Puducherry",ANATOMY,-,-,-,-,-,-,-,-,-,4318,-,-,-
AIIMS-All India,ST,Delhi,"AIIMS, Delhi",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,4331,-,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Jharkhand,"AIIMS, Deoghar",ORTHOPAEDICS,-,-,-,-,-,-,-,-,-,4340,-,-,-
AIIMS-All India,UR,Assam,"AIIMS, Guwahati",ANATOMY,-,-,-,-,-,3921,5895,8739,-,4358,-,-,-
AIIMS-All India,OBC,Rajasthan,"AIIMS, Jodhpur",BIOCHEMISTRY,-,-,-,-,-,-,-,-,-,4377,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",COMMUNITY MEDICINE,-,-,-,-,-,-,-,-,-,4392,-,-,-
AIIMS-All India,ST,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",GENERAL MEDICINE,-,-,-,-,-,-,-,-,-,4395,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",FORENSIC MEDICINE,-,-,-,-,-,-,-,-,-,4400,-,-,-
JIMPER-Inst. Pref,INST (JIPMER),Pondicherry,"JIPMER, Puducherry",COMMUNITY MEDICINE,-,-,-,-,-,1531,3125,4111,24230,4417,-,-,-
AIIMS-All India,OBC,Odisha,"AIIMS, Bhubaneswar",HOSPITAL ADMINISTRATION,-,-,-,-,-,-,-,-,-,4419,-,-,-
AIIMS-All India,OBC,Bihar,"AIIMS, Patna",COMMUNITY & FAMILY MEDICINE,-,-,-,-,-,3300,4459,5921,-,4427,-,-,-
PGIMER-All India,ST,Chandigarh,"PGIMER, Chandigarh",PAEDIATRICS,-,-,-,-,-,2431,3007,-,-,4463,-,-,-
