Round,AI Rank,State,Institute,Course,Quota,Category
2,5980,Assam,"AIIMS, Guwahati",ANATOMY,AIIMS-All India,UR
2,5988,Odisha,"AIIMS, Bhubaneswar",FORENSIC MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
2,5997,Madhya Pradesh,"AIIMS, Bhopal",BIOCHEMISTRY,AIIMS-All India,OBC
2,5998,Gujarat,"AIIMS, Rajkot",PHYSIOLOGY,AIIMS-All India,UR
2,6039,Jammu and Kashmir,"AIIMS, Jammu",ORTHOPAEDICS,AIIMS-All India,SC
2,6041,Assam,"AIIMS, Guwahati",PHYSIOLOGY,AIIMS-All India,UR
2,6073,Andhra Pradesh,"AIIMS, Mangalagiri",ORTHOPAEDICS,AIIMS-All India,SC
2,6075,Andhra Pradesh,"AIIMS, Mangalagiri",FORENSIC MEDICINE,AIIMS-All India,OBC
2,6077,Uttarakhand,"AIIMS, Rishikesh",IHBT,AIIMS-All India,OBC
2,6078,Maharashtra,"AIIMS, Nagpur",ORTHOPAEDICS,AIIMS-Inst. Pref,UR-AIIMS-IP
2,6080,Uttar Pradesh,"AIIMS, Rai Bareli",PATHOLOGY,AIIMS-All India,OBC
2,6084,Jharkhand,"AIIMS, Deoghar",BIOCHEMISTRY,AIIMS-All India,UR
2,6097,Andhra Pradesh,"AIIMS, Mangalagiri",BIOCHEMISTRY,AIIMS-All India,UR
2,6112,Bihar,"AIIMS, Patna",ANATOMY,AIIMS-All India,UR
2,6135,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL SURGERY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,6148,Andhra Pradesh,"AIIMS, Mangalagiri",COMMUNITY MEDICINE,AIIMS-All India,OBC
2,6180,Punjab,"AIIMS, Bathinda",FORENSIC MEDICINE,AIIMS-All India,OBC
2,6201,Assam,"AIIMS, Guwahati",PHYSIOLOGY,AIIMS-All India,UR
2,6297,Delhi,"AIIMS, Delhi",ENT,AIIMS-Inst. Pref,UR-AIIMS-IP
2,6298,Assam,"AIIMS, Guwahati",PATHOLOGY,AIIMS-All India,EWS
2,6375,Madhya Pradesh,"AIIMS, Bhopal",FORENSIC MEDICINE,AIIMS-All India,OBC
2,6390,Gujarat,"AIIMS, Rajkot",PATHOLOGY,AIIMS-All India,EWS
2,6398,Chhattisgarh,"AIIMS, Raipur",IHBT,AIIMS-All India,OBC
2,6425,Pondicherry,"JIPMER, Puducherry",PAEDIATRICS,JIPMER-All India,ST
2,6427,Odisha,"AIIMS, Bhubaneswar",ANATOMY,AIIMS-All India,UR
2,6506,Uttarakhand,"AIIMS, Rishikesh",ANAESTHESIOLOGY,AIIMS-All India,SC
2,6579,Uttar Pradesh,"AIIMS, Gorakhpur",PATHOLOGY,AIIMS-All India,OBC
2,6588,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",PAEDIATRICS,AIIMS-All India,ST
2,6599,Rajasthan,"AIIMS, Jodhpur",PATHOLOGY,AIIMS-All India,EWS
2,6611,Andhra Pradesh,"AIIMS, Mangalagiri",ANATOMY,AIIMS-All India,UR
2,6617,Madhya Pradesh,"AIIMS, Bhopal",COMMUNITY MEDICINE,AIIMS-All India,OBC
2,6648,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",PATHOLOGY,AIIMS-All India,OBC
2,6653,Assam,"AIIMS, Guwahati",ANATOMY,AIIMS-All India,UR
2,6784,West Bengal,"AIIMS, Kalyani",ANATOMY,AIIMS-All India,UR
2,6788,Odisha,"AIIMS, Bhubaneswar",COMMUNITY MEDICINE,AIIMS-All India,OBC
