Round,AI Rank,State,Institute,Course,Quota,Category
0,5217,Punjab,"AIIMS, Bathinda",COMMUNITY & FAMILY MEDICINE,AIIMS-All India,OBC
0,5243,Assam,"AIIMS, Guwahati",PAEDIATRICS,AIIMS-All India,ST
0,5245,Uttar Pradesh,"AIIMS, Rai Bareli",BIOCHEMISTRY,AIIMS-All India,UR
0,5256,Telangana,"AIIMS, Bibinagar",MICROBIOLOGY,AIIMS-All India,EWS
0,5259,Assam,"AIIMS, Guwahati",PATHOLOGY,AIIMS-All India,EWS
0,5261,Assam,"AIIMS, Guwahati",COMMUNITY & FAMILY MEDICINE,AIIMS-All India,OBC
0,5265,Telangana,"AIIMS, Bibinagar",PHARMACOLOGY,AIIMS-All India,OBC
0,5266,Andhra Pradesh,"AIIMS, Mangalagiri",OBG,AIIMS-All India,ST
0,5293,Assam,"AIIMS, Guwahati",FORENSIC MEDICINE,AIIMS-All India,OBC
0,5299,Uttarakhand,"AIIMS, Rishikesh",IHBT,AIIMS-All India,EWS
0,5307,Bihar,"AIIMS, Patna",ANAESTHESIOLOGY,AIIMS-All India,SC
0,5323,Chhattisgarh,"AIIMS, Raipur",ANAESTHESIOLOGY,AIIMS-All India,SC
0,5348,Delhi,"AIIMS, Delhi",RADIATION ONCOLOGY,AIIMS-All India,ST
0,5352,Jammu and Kashmir,"AIIMS, Jammu",ANATOMY,AIIMS-All India,UR
0,5353,Odisha,"AIIMS, Bhubaneswar",PATHOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5381,Uttar Pradesh,"AIIMS, Gorakhpur",FORENSIC MEDICINE,AIIMS-All India,OBC
0,5410,Odisha,"AIIMS, Bhubaneswar",ANAESTHESIOLOGY,AIIMS-All India,SC
0,5438,Madhya Pradesh,"AIIMS, Bhopal",PHYSIOLOGY,AIIMS-All India,OBC
0,5443,Uttar Pradesh,"AIIMS, Gorakhpur",COMMUNITY & FAMILY MEDICINE,AIIMS-All India,OBC
0,5476,Gujarat,"AIIMS, Rajkot",ANATOMY,AIIMS-All India,UR
0,5509,Rajasthan,"AIIMS, Jodhpur",ENT,AIIMS-All India,SC
0,5570,Odisha,"AIIMS, Bhubaneswar",ANAESTHESIOLOGY,AIIMS-All India,SC
0,5583,Uttar Pradesh,"AIIMS, Rai Bareli",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5602,Bihar,"AIIMS, Patna",ANAESTHESIOLOGY,AIIMS-All India,SC
0,5603,West Bengal,"AIIMS, Kalyani",COMMUNITY MEDICINE,AIIMS-All India,OBC
0,5652,Telangana,"AIIMS, Bibinagar",ANAESTHESIOLOGY,AIIMS-All India,SC
0,5682,Andhra Pradesh,"AIIMS, Mangalagiri",GENERAL SURGERY,AIIMS-All India,ST
0,5685,Punjab,"AIIMS, Bathinda",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5709,Assam,"AIIMS, Guwahati",ENT,AIIMS-All India,SC
0,5749,Punjab,"AIIMS, Bathinda",ANAESTHESIOLOGY,AIIMS-All India,SC
0,5777,Odisha,"AIIMS, Bhubaneswar",COMMUNITY MEDICINE,AIIMS-All India,EWS
0,5778,Jharkhand,"AIIMS, Deoghar",PSYCHIATRY,AIIMS-All India,SC
0,5783,Punjab,"AIIMS, Bathinda",MICROBIOLOGY,AIIMS-All India,OBC
0,5807,West Bengal,"AIIMS, Kalyani",MICROBIOLOGY,AIIMS-All India,OBC
0,5835,Chhattisgarh,"AIIMS, Raipur",FAMILY MEDICINE,AIIMS-All India,SC
0,5857,Odisha,"AIIMS, Bhubaneswar",EMERGENCY MEDICINE,AIIMS-All India,ST
0,5860,Madhya Pradesh,"AIIMS, Bhopal",FORENSIC MEDICINE,AIIMS-All India,EWS
0,5894,Delhi,"AIIMS, Delhi",PMR,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5915,Jharkhand,"AIIMS, Deoghar",ANAESTHESIOLOGY,AIIMS-All India,SC
0,5917,Andhra Pradesh,"AIIMS, Mangalagiri",BIOCHEMISTRY,AIIMS-All India,OBC
0,5941,Jharkhand,"AIIMS, Deoghar",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5960,Delhi,"AIIMS, Delhi",PHARMACOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
0,5974,Uttar Pradesh,"AIIMS, Rai Bareli",ANAESTHESIOLOGY,AIIMS-All India,SC
0,6008,Chhattisgarh,"AIIMS, Raipur",FORENSIC MEDICINE,AIIMS-Inst. Pref,UR-AIIMS-IP
