Quota,Category,State,Institute,Course,Fee,CR 2025 1,CR 2025 2,CR 2025 3
AI,SC,Andhra Pradesh,"Govt Med Coll, Ananthapuram",MBBS,15000,80867(4),113695(4),123195(5)
AI,SC,Telangana,"Govt Med Coll, Medak",MBBS,14000,104671(1),123199(1),123199(1)
AI,ST,Gujarat,"Govt Med College (GMERS), Morbi",MBBS,375000,118121(1),123429(1),123429(1)
AI,ST,Uttar Pradesh,"Govt Med Coll, Chandauli",MBBS,24000,121111(1),123538(1),123538(1)
AI,SC,Maharashtra,Government Med Coll Ratnagiri,MBBS,158600,96916(3),114407(3),123553(3)
AI,SC,Karnataka,"Chamrajanagar IMS, Karnataka",MBBS,64350,86328(3),123621(3),123621(3)
AI,ST,Haryana,"Maharishi Chyawan Med Coll,Koriawas",MBBS,61410,-,123642(1),123642(1)
AI,ST,Madhya Pradesh,"GMC, Singrauli",MBBS,100000,-,112485(1),123716(1)
AI,ST,West Bengal,"RG Kar Med Coll, Kolkata",MBBS,9000,91629(2),113270(2),123741(2)
AI,ST,Maharashtra,"Govt Med Coll, Gondia",MBBS,158600,118775(2),123743(2),123743(2)
AI,ST,Maharashtra,"Govt Med Coll, Nandurbar",MBBS,158600,114517(1),123852(1),123852(1)
ES,SC,Haryana,"ESI Med Coll, Faridabad",MBBS,24000,95893(6),119239(6),123870(7)
AI,ST,Tamil Nadu,"Madurai Med Coll, Madurai",MBBS,18073,103611(3),119888(3),123915(3)
AI,ST,Maharashtra,"Govt Med Coll, Akola",MBBS,158600,109737(2),120319(2),123987(2)
AI,ST,Maharashtra,"Govt Med Coll, Jalgaon",MBBS,158600,114432(1),120444(1),124036(1)
AI,ST,Kerala,"Govt Med Coll, Ernakulam",MBBS,23150,111935(1),124344(1),124344(1)
AI,SC,Andhra Pradesh,Government Med Coll Vizianagaram,MBBS,15000,92266(3),124670(3),124670(3)
AI,ST,West Bengal,Burdwan Medical College,MBBS,9000,103156(2),124744(2),124744(2)
AI,ST,Kerala,"TD Med Coll, Allepey",MBBS,23150,113270(2),124805(2),124805(2)
AI,ST,Bihar,"Jannayak Karpoori Med,Madhepura",MBBS,9500,112881(1),124812(1),124812(1)
AI,SC,Assam,"Pragjyotishpur Med Coll,Guwahati",MBBS,8400,-,103833(1),124850(2)
AI,SC,Andhra Pradesh,"Government Medical College, Paderu",MBBS,15000,85153(1),124874(1),124874(1)
AI,ST,Kerala,"Govt Med Coll, Kozhikode",MBBS,23150,75126(3),79464(3),125063(3)
AI,SC,Telangana,"Govt Med Coll, Narayanpet",MBBS,14000,90601(1),125256(1),125256(1)
AI,ST,Uttar Pradesh,"Auton.State MedColl,Pratapgarh",MBBS,24000,109057(1),116688(1),125298(1)
AI,ST,Maharashtra,"Sri Bhausaheb, Dhule",MBBS,158600,110678(2),114432(2),125396(2)
AI,SC,West Bengal,Malda Med Coll,MBBS,9000,90126(3),120557(3),125620(3)
AI,ST,Uttar Pradesh,"Autonomous Med Coll, Sonebhadra",MBBS,24000,115781(1),125622(1),125622(1)
AI,ST,Kerala,"Govt Med Coll, Kottayam",MBBS,23150,96851(1),50227(1),125638(1)
AI,ST,Goa,"Goa Med Coll, Panaji",MBBS,154050,87969(2),111781(2),125649(2)
AI,SC,Tamil Nadu,"Govt Erode Med Coll,Perundurai",MBBS,18073,51725(2),109905(2),125728(2)
AI,SC,West Bengal,"TamraliptoGovtMed,PurbaMedinpur",MBBS,9000,102110(3),125759(3),125759(3)
AI,SC,Telangana,"Govt Med Coll, Suryapet",MBBS,14000,99703(3),124505(3),125873(4)
AI,ST,Assam,Kokrajhar Medical College,MBBS,6400,125887(1),125887(1),125887(1)
AI,SC,Gujarat,"Govt Med Coll (GMERS), Panchmahal",MBBS,375000,97582(2),121422(2),125941(2)
AI,SC,Kerala,"Academy of Med Sci, Pariyaram",MBBS,23150,67550(3),117024(3),125961(3)
