Quota,Category,State,Institute,Course,Fee,CR 2025 1,CR 2025 2,CR 2025 3
AI,OBC,Maharashtra,"Shri VR Naik Govt, Yavatmal",MBBS,158600,15069(7),19079(7),21790(7)
AI,EWS,West Bengal,Bankura Sammilani Med Coll,MBBS,9000,16226(3),20938(3),21810(3)
AI,EWS,Uttar Pradesh,"Auton. State Med Coll, Jaunpur",MBBS,24000,15549(2),19150(2),21826(2)
AI,Open,West Bengal,"Diamond Harbour Govt MC, WB",MBBS,9000,11448(6),18340(8),21828(8)
AI,OBC,Andhra Pradesh,"Rangaraya Med Coll, Kakinada",MBBS,15000,9686(9),20509(9),21840(9)
AI,OBC,Odisha,"Pt Raghunath Med Coll,Baripada",MBBS,22000,15728(4),21842(4),21842(4)
AI,Open,Maharashtra,"Govt Med Coll, Nandurbar",MBBS,158600,15066(5),19317(5),21860(5)
AI,Open,Jharkhand,"Dumka Medical Coll,Dighi Dumka",MBBS,20100,15573(6),20994(6),21867(6)
AI,OBC,Karnataka,"Chamrajanagar IMS, Karnataka",MBBS,64350,15745(5),20621(5),21868(5)
AI,EWS,West Bengal,"Barasat Govt Med Coll, Barasat",MBBS,9000,18745(2),22829(2),21895(2)
AI,OBC,Karnataka,Kodagu Inst of Med Sciences,MBBS,64350,14401(6),20234(6),21900(6)
AI,EWS,Maharashtra,"VMMC, Solapur",MBBS,158600,12306(3),18274(3),21916(3)
AI,Open,Karnataka,Chikkaballapura Inst Of Med Sci,MBBS,64350,12520(5),19965(7),21922(7)
AI,OBC,Jharkhand,"Dumka Medical Coll,Dighi Dumka",MBBS,20100,17134(4),21238(4),21926(4)
AI,OBC,Maharashtra,Government Med Coll Ratnagiri,MBBS,158600,16229(4),20300(4),21941(4)
AI,Open,Andhra Pradesh,SVIMS-Sri Padmavathi,MBBS,67900,12719(10),19972(10),21961(10)
AI,OBC,Karnataka,Karwar Inst of Med Sciences,MBBS,64350,15023(6),20494(6),21967(6)
AI,Open,West Bengal,Midnapore Medical College,MBBS,9000,13585(12),19936(12),21971(12)
AI,Open,Andhra Pradesh,"Rajiv Gandhi IMS, Kadapa",MBBS,15000,14765(11),21386(11),21972(11)
AI,Open,Maharashtra,"Govt Med Coll, Alibag",MBBS,158600,15689(6),18992(6),21975(6)
AI,OBC,Assam,"Assam Med Coll, Dibrugarh",MBBS,6400,14944(8),21982(10),21982(10)
AI,OBC,Maharashtra,"Govt Med Coll, Nandurbar",MBBS,158600,16137(4),19731(4),21994(4)
AI,Open,Jammu and Kashmir,"Government Medical Coll, Doda",MBBS,26250,17315(6),21818(8),21995(8)
AI,Open,Jharkhand,"Palamu Medical College, Palamu",MBBS,9200,15946(4),20103(4),21996(4)
AI,OBC,Maharashtra,"Govt Med Coll, Gondia",MBBS,158600,16238(5),19458(5),22001(5)
AI,EWS,Maharashtra,"Government Med Coll, Amravati",MBBS,158600,18640(1),22015(1),22015(1)
ES,EWS,Rajasthan,"ESIC Med Coll, Alwar",MBBS,24000,17289(3),17289(3),22037(3)
AI,OBC,Manipur,"RIMS, Imphal",MBBS,3000,15062(5),22056(5),22056(5)
AI,Open,Karnataka,"Bidar IMS, Bidar",MBBS,64350,11883(8),19380(8),22069(8)
AI,EWS,Jammu and Kashmir,"Government Medical Coll,Kathua",MBBS,26250,14377(2),22076(3),22076(3)
AI,EWS,Andhra Pradesh,"Guntur Med Coll, Guntur",MBBS,15000,9219(4),16345(4),22094(4)
AI,Open,Chhattisgarh,"Govt Med Coll, Ambikapur",MBBS,50000,17455(7),21137(7),22102(7)
AI,OBC,Andhra Pradesh,SVIMS-Sri Padmavathi,MBBS,67900,14255(5),22019(5),22115(5)
AI,EWS,Maharashtra,"Rajarshee CSM Govt MC,Kolhapur",MBBS,158600,14707(2),19945(2),22134(2)
AI,OBC,West Bengal,Bankura Sammilani Med Coll,MBBS,9000,14053(7),19610(7),22143(7)
AI,EWS,Maharashtra,"Sri Bhausaheb, Dhule",MBBS,158600,16282(2),20274(2),22149(2)
AI,OBC,West Bengal,"Diamond Harbour Govt MC, WB",MBBS,9000,12358(2),19618(3),22183(3)
AI,SC,Delhi,"NDMC Med College, Delhi",MBBS,105500,15798(1),22223(1),22223(1)
AI,OBC,Karnataka,"Bidar IMS, Bidar",MBBS,64350,14218(7),20495(7),22245(7)
AI,OBC,Maharashtra,"Govt Med Coll, Alibag",MBBS,158600,17028(4),20259(4),22246(4)
AI,OBC,Karnataka,Chikkaballapura Inst Of Med Sci,MBBS,64350,14769(4),21029(6),22290(6)
AI,EWS,Kerala,"Govt Med Coll, Kottayam",MBBS,23150,13677(3),22295(3),22295(3)
AI,Open,Telangana,"Govt Med Coll, Suryapet",MBBS,14000,17662(7),21709(7),22340(7)
AI,EWS,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",MBBS,50000,17136(2),20416(2),22341(2)
AI,OBC,Maharashtra,"Government Med Coll, Amravati",MBBS,158600,18124(4),20485(4),22364(4)
AI,EWS,Uttar Pradesh,"Auton. State Med Coll,Amethi",MBBS,24000,-,-,22368(1)
AI,OBC,Telangana,"Govt Med Coll, Suryapet",MBBS,14000,18618(5),21940(5),22369(5)
AI,OBC,Telangana,"Rajiv Gandhi IMS, Adilabad",MBBS,14000,15996(4),20555(4),22374(4)
AI,Open,Manipur,"RIMS, Imphal",MBBS,3000,12184(7),21693(7),22377(7)
AI,EWS,Tamil Nadu,"Stanley Med Coll, Chennai",MBBS,18073,8671(4),15225(4),22385(4)
JP,Open,Pondicherry,"JIPMER, Puducherry",MBBS,1200,20667(19),20667(19),22390(20)
AI,EWS,Tamil Nadu,"ESI PGIMSR, KK Nagar, Chennai",MBBS,100000,16206(3),22629(3),22425(3)
AI,Open,Chhattisgarh,"CCM Govt Medical College, Durg",MBBS,50000,15834(11),20024(11),22435(11)
AI,Open,Telangana,"Govt Med Coll, Nizamabad",MBBS,14000,15751(7),18895(7),22448(7)
AI,Open,Gujarat,"Govt Med College (GMERS), Morbi",MBBS,375000,16056(6),18309(6),22453(6)
AI,EWS,Andhra Pradesh,"Kurnool Med Coll, Kurnool",MBBS,15000,8126(2),8126(2),22480(2)
AI,Open,Andhra Pradesh,"Govt Med Coll, Ananthapuram",MBBS,15000,14025(11),20767(11),22485(11)
AI,OBC,Andhra Pradesh,"Rajiv Gandhi IMS, Kadapa",MBBS,15000,17597(7),21961(7),22499(7)
AI,Open,Karnataka,Chikkamagaluru Inst of Med Sci,MBBS,64350,15955(9),21649(9),22507(9)
AI,EWS,West Bengal,Midnapore Medical College,MBBS,9000,17068(2),21944(2),22513(2)
AI,EWS,Uttar Pradesh,"Govt Med Coll, Gonda",MBBS,24000,18357(2),21116(2),22520(2)
AI,Open,Gujarat,"Govt Med Coll (GMERS), Porbandar",MBBS,375000,15464(5),20045(5),22535(5)
AI,Open,Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",MBBS,50000,15184(7),20262(7),22574(7)
AI,OBC,Chhattisgarh,"Lakhi Ram Agrawal, Raigarh",MBBS,50000,15234(4),20018(4),22576(4)
AI,Open,Telangana,"Govt Med Coll, Siddipet",MBBS,14000,17333(10),20697(10),22590(10)
AI,Open,Telangana,"Govt Med Coll, Quthbullapur",MBBS,14000,13641(3),19803(3),22606(3)
AI,Open,Telangana,"Govt Med Coll, Nalgonda",MBBS,14000,17800(7),21120(7),22637(7)
AI,Open,Karnataka,"Gadag IMS, Gadag",MBBS,64350,14287(8),20823(8),22653(8)
AI,EWS,Uttar Pradesh,"Govt Med Coll, Chandauli",MBBS,24000,18191(2),21384(2),22654(2)
AI,OBC,Telangana,"Govt Med Coll, Quthbullapur",MBBS,14000,20473(2),22674(2),22674(2)
AI,EWS,Madhya Pradesh,"GMC, Singrauli",MBBS,100000,-,21558(2),22701(2)
AI,Open,West Bengal,Purulia Govt Med Coll,MBBS,9000,18165(5),21259(5),22750(5)
AI,Open,Karnataka,"Raichur IMS, Raichur",MBBS,64350,13573(9),20365(12),22776(12)
AI,OBC,Jammu and Kashmir,"Government Medical Coll, Doda",MBBS,26250,19533(4),22412(6),22796(6)
AI,Open,West Bengal,Jalpaiguri Govt Med Coll,MBBS,9000,16071(5),21544(5),22799(5)
AI,OBC,Telangana,"Govt Med Coll, Nizamabad",MBBS,14000,16908(4),20489(4),22818(4)
AI,OBC,Andhra Pradesh,"Govt Med Coll, Ananthapuram",MBBS,15000,16934(8),21064(8),22819(8)
AI,EWS,West Bengal,"Diamond Harbour Govt MC, WB",MBBS,9000,12066(1),19347(2),22829(2)
AI,EWS,Odisha,"Govt Med Coll and Hosp, Jajpur",MBBS,22000,19125(1),22831(1),22831(1)
AIIMS SO,ST,Chhattisgarh,"AIIMS, Raipur",MBBS,1350,22885(9),22885(9),22885(9)
AI,EWS,Jammu and Kashmir,"Government Med Coll,Rajouri",MBBS,26250,16757(1),22302(1),22886(1)
AI,OBC,Jharkhand,"Palamu Medical College, Palamu",MBBS,9200,17861(4),21275(4),22895(4)
AI,Open,West Bengal,Murshidabad Med Coll,MBBS,9000,15566(7),21370(7),22912(7)
AI,OBC,Chhattisgarh,"CCM Govt Medical College, Durg",MBBS,50000,17986(7),21405(7),22943(7)
AI,Open,Maharashtra,"Government Med Coll, Parbhani",MBBS,158600,17318(5),20579(5),22949(5)
AI,OBC,Jammu and Kashmir,"Government Med Coll,Anantnag",MBBS,34214,17423(7),20284(4),22979(6)
AI,EWS,Telangana,"Kakatiya Med Coll, Warangal",MBBS,14000,13673(3),19184(3),22983(3)
AI,Open,West Bengal,Malda Med Coll,MBBS,9000,14398(7),20737(7),22988(7)
AI,Open,Maharashtra,"Government Med Coll, Osmanabad",MBBS,158600,17216(6),20025(6),23007(6)
AI,EWS,Maharashtra,"Govt Med Coll, Jalgaon",MBBS,158600,17282(2),20409(2),23014(2)
AI,OBC,Karnataka,Chikkamagaluru Inst of Med Sci,MBBS,64350,16433(6),21912(6),23021(6)
AI,OBC,Karnataka,"Raichur IMS, Raichur",MBBS,64350,14902(5),21148(7),23033(7)
AI,EWS,Tamil Nadu,"Govt Med Coll, Omandurar",MBBS,18073,17554(1),23068(1),23068(1)
AI,OBC,Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",MBBS,50000,16283(4),20747(4),23075(4)
AI,Open,Maharashtra,"Government Med Coll, Sindhudurg",MBBS,158600,16925(6),20395(6),23076(6)
AI,EWS,Maharashtra,"Govt Med Coll, Miraj",MBBS,158600,14254(3),18739(3),23078(3)
AI,Open,Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",MBBS,15000,15574(7),21047(9),23089(9)
AI,EWS,Jammu and Kashmir,"Government Medical Coll, Doda",MBBS,26250,19321(2),23120(2),23120(2)
AI,OBC,Chhattisgarh,"Govt Med Coll, Ambikapur",MBBS,50000,18613(5),21819(5),23139(5)
AI,Open,Maharashtra,"Government Med Coll, Buldhana",MBBS,158600,18312(7),21134(7),23157(7)
AI,OBC,West Bengal,Midnapore Medical College,MBBS,9000,15765(8),20681(8),23164(8)
AI,Open,West Bengal,"Prafulla CS Govt Med, Arambagh",MBBS,9000,18500(5),22363(5),23175(5)
AI,OBC,Telangana,"Govt Med Coll, Nalgonda",MBBS,14000,18976(6),22088(6),23202(6)
AI,Open,West Bengal,"Sarat CC Govt Med Coll, Howrah",MBBS,9000,17944(6),21303(6),23215(6)
AI,OBC,Telangana,"Govt Med Coll, Siddipet",MBBS,14000,18607(6),21446(6),23219(6)
AI,OBC,Maharashtra,"Government Med Coll, Osmanabad",MBBS,158600,17566(4),20500(4),23227(4)
AI,Open,Chhattisgarh,"Government Med Coll, Mahasamund",MBBS,50000,16897(6),21904(6),23229(6)
AI,Open,Telangana,"Govt Med Coll, Maheshwaram",MBBS,14000,18701(3),23239(3),23239(3)
AI,Open,Odisha,"Govt Med Coll and Hosp, Jajpur",MBBS,22000,13385(3),21702(3),23247(3)
AI,OBC,Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",MBBS,15000,17411(4),22106(5),23253(5)
AI,OBC,Telangana,"Govt Med Coll, Mahabubnagar",MBBS,14000,18092(6),20891(6),23259(6)
AI,EWS,Bihar,"Jannayak Karpoori Med,Madhepura",MBBS,9500,17199(2),21810(2),23287(2)
AI,EWS,Maharashtra,"Govt Med Coll, Nanded",MBBS,158600,13312(2),19143(2),23307(2)
AI,EWS,Odisha,"Government Med Coll, Sundargarh",MBBS,22000,19026(1),23325(1),23325(1)
AI,Open,Odisha,"Government Med Coll, Sundargarh",MBBS,22000,17324(8),23057(8),23339(8)
AI,EWS,Bihar,"Government Med Coll, Purnea",MBBS,9500,15767(1),19764(1),23353(1)
AI,OBC,Maharashtra,"Government Med Coll, Sindhudurg",MBBS,158600,17509(4),20612(4),23363(4)
AI,Open,West Bengal,"Govt Med Coll, Raiganj",MBBS,9000,16264(4),21828(4),23373(6)
AI,Open,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",MBBS,15000,17565(15),22100(15),23380(15)
AI,OBC,West Bengal,"Sarat CC Govt Med Coll, Howrah",MBBS,9000,19405(4),22861(4),23387(4)
AI,OBC,Karnataka,"Gadag IMS, Gadag",MBBS,64350,15554(6),21227(6),23389(6)
AI,EWS,Karnataka,"Bidar IMS, Bidar",MBBS,64350,18770(2),23412(2),23412(2)
AI,EWS,West Bengal,Malda Med Coll,MBBS,9000,19347(2),22513(2),23430(2)
AI,Open,Karnataka,"Koppal Inst of MS, Koppal",MBBS,64350,15274(10),21533(10),23455(10)
AI,EWS,Assam,"Assam Med Coll, Dibrugarh",MBBS,6400,16210(3),23462(3),23462(3)
AI,EWS,Telangana,"Govt Med Coll, Mahabubnagar",MBBS,14000,21758(2),23112(2),23466(2)
AI,OBC,West Bengal,Malda Med Coll,MBBS,9000,15958(5),21158(5),23484(5)
AI,OBC,Maharashtra,"Government Med Coll, Parbhani",MBBS,158600,18101(4),20972(4),23487(4)
AI,EWS,Chhattisgarh,"CCM Govt Medical College, Durg",MBBS,50000,19738(3),22578(3),23498(3)
AI,Open,Assam,"Jorhat Med Coll, Jorhat",MBBS,6400,16465(8),22812(8),23503(8)
AI,Open,West Bengal,"TamraliptoGovtMed,PurbaMedinpur",MBBS,9000,18793(6),23226(6),23511(6)
AI,Open,Telangana,"Government Med Coll, Sangareddy",MBBS,14000,18553(9),22328(9),23517(9)
AI,Open,Assam,"Pragjyotishpur Med Coll,Guwahati",MBBS,8400,-,19284(3),23549(6)
ES,OBC,Rajasthan,"ESIC Med Coll, Alwar",MBBS,24000,17524(10),17524(10),23596(10)
AI,Open,Odisha,"Government Med Coll, Keonjhar",MBBS,22000,16017(3),22118(3),23605(3)
AI,EWS,Maharashtra,"Shri VR Naik Govt, Yavatmal",MBBS,158600,15782(2),21219(2),23608(2)
AI,EWS,Jammu and Kashmir,"Government Med Coll,Anantnag",MBBS,34214,18738(2),22081(1),23614(2)
AI,OBC,West Bengal,"Prafulla CS Govt Med, Arambagh",MBBS,9000,19599(4),23023(4),23635(4)
AI,EWS,Odisha,"Pt Raghunath Med Coll,Baripada",MBBS,22000,15632(2),24950(2),23638(2)
AI,OBC,Odisha,"Government Med Coll, Sundargarh",MBBS,22000,18365(2),23647(2),23647(2)
AI,Open,Assam,"Silchar Med Coll, Silchar",MBBS,6400,15335(8),22025(9),23656(9)
AI,OBC,Telangana,"Government Med Coll, Sangareddy",MBBS,14000,19398(5),22573(5),23662(5)
AI,OBC,Odisha,"Govt Med Coll and Hosp, Jajpur",MBBS,22000,17225(2),23216(2),23679(2)
AI,Open,Jammu and Kashmir,"Government Med Coll, Baramulla",MBBS,37636,14647(6),21156(10),23723(10)
AI,Open,Maharashtra,"Government Med Coll, Bhandara",MBBS,158600,17608(5),21013(5),23732(5)
AI,Open,Karnataka,"Haveri Inst of Med Sci, Haveri",MBBS,64350,15509(10),21917(10),23733(10)
AI,OBC,Karnataka,"Koppal Inst of MS, Koppal",MBBS,64350,15999(6),21766(6),23734(6)
AI,EWS,Maharashtra,"SRTT, Ambajogai",MBBS,158600,16534(3),21472(3),23740(3)
AI,OBC,Maharashtra,"Government Med Coll, Buldhana",MBBS,158600,19222(4),21454(4),23759(4)
AI,Open,West Bengal,"Govt Med Coll, Rampurhat",MBBS,9000,17392(6),22098(6),23811(9)
AI,OBC,Karnataka,"Haveri Inst of Med Sci, Haveri",MBBS,64350,16921(6),22347(6),23839(6)
AI,OBC,Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",MBBS,15000,18461(10),22410(10),23851(10)
AI,EWS,Maharashtra,"Govt Med Coll, Satara",MBBS,158600,18612(2),21713(2),23855(2)
AI,Open,Telangana,"Government Med Coll, Khammam",MBBS,14000,19528(8),23360(8),23859(8)
AI,EWS,Andhra Pradesh,"SV Med Coll, Tirupati",MBBS,15000,11148(3),20153(3),23865(3)
AIIMS SO,ST,Odisha,"AIIMS, Bhubaneswar",MBBS,1350,14786(8),14786(8),23884(8)
AI,Open,Telangana,"Government Med Coll, Ramagundam",MBBS,14000,19450(7),22774(7),23886(7)
AI,OBC,West Bengal,Purulia Govt Med Coll,MBBS,9000,19532(5),22826(5),23889(5)
AI,OBC,Telangana,"Government Med Coll, Khammam",MBBS,14000,19993(3),23522(3),23893(3)
AI,EWS,Maharashtra,"Government Med Coll, Ambernath",MBBS,158600,17837(2),23895(2),23895(2)
AI,OBC,Gujarat,"Govt Med College (GMERS), Morbi",MBBS,375000,17327(4),22166(4),23902(4)
AI,OBC,West Bengal,Murshidabad Med Coll,MBBS,9000,17170(5),22058(5),23905(5)
AI,EWS,Karnataka,"Gadag IMS, Gadag",MBBS,64350,20274(2),23911(2),23911(2)
AI,EWS,Gujarat,"Govt Med Coll (GMERS), Porbandar",MBBS,375000,16335(1),22505(1),23913(1)
AI,Open,Maharashtra,"Government Med Coll, Gadchiroli",MBBS,158600,18342(6),21536(6),23922(6)
AI,Open,West Bengal,"MJN Med Coll, Coochbehar",MBBS,9000,18083(5),21362(5),23933(9)
AI,Open,Chhattisgarh,"Govt Med Coll, Kanker",MBBS,50000,18309(6),22431(6),23992(6)
AI,EWS,Maharashtra,"Govt Med Coll, Latur",MBBS,158600,15523(2),20808(2),24006(2)
AI,Open,Delhi,"Maulana Azad IDS, New Delhi",BDS,5395,13602(2),5935(2),24046(2)
AI,OBC,Assam,"Jorhat Med Coll, Jorhat",MBBS,6400,18742(4),23242(4),24051(4)
AI,Open,Maharashtra,"Government Med Coll, Jalna",MBBS,158600,18468(5),21174(5),24056(5)
AI,Open,Telangana,"Govt Med Coll, Nagarkurnool",MBBS,14000,17900(8),22198(8),24081(8)
AI,EWS,West Bengal,"TamraliptoGovtMed,PurbaMedinpur",MBBS,9000,21290(1),24126(1),24126(1)
AI,OBC,Telangana,"Government Med Coll, Ramagundam",MBBS,14000,20489(6),23713(6),24128(6)
AI,EWS,West Bengal,"Sarat CC Govt Med Coll, Howrah",MBBS,9000,19261(1),24137(1),24137(1)
AI,OBC,Maharashtra,"Government Med Coll, Bhandara",MBBS,158600,18944(4),21414(4),24140(4)
AI,EWS,West Bengal,Murshidabad Med Coll,MBBS,9000,18344(1),23865(1),24144(1)
AI,OBC,West Bengal,"MJN Med Coll, Coochbehar",MBBS,9000,18940(4),22394(4),24204(7)
AI,OBC,West Bengal,"TamraliptoGovtMed,PurbaMedinpur",MBBS,9000,19665(4),23422(4),24208(4)
AI,EWS,Assam,"Silchar Med Coll, Silchar",MBBS,6400,16345(2),24213(2),24213(2)
AI,Open,West Bengal,"Jhargram Govt Med Coll,Jhargram",MBBS,9000,19281(6),22926(6),24232(6)
AI,Open,Karnataka,"Yadgiri Inst of Med Sci,Yadgiri",MBBS,64350,16640(10),22507(10),24244(10)
AI,EWS,Jharkhand,"Dumka Medical Coll,Dighi Dumka",MBBS,20100,17956(2),23379(2),24258(2)
AI,EWS,West Bengal,"MJN Med Coll, Coochbehar",MBBS,9000,20010(2),24271(2),24271(2)
AI,OBC,Telangana,"Govt Med Coll, Medak",MBBS,14000,20339(2),24294(2),24294(2)
AI,Open,Chhattisgarh,"Government Med Coll, Korba",MBBS,50000,18665(8),22576(8),24296(8)
AI,EWS,Tamil Nadu,Coimbatore Med Coll,MBBS,18073,15747(2),18738(2),24304(2)
AI,OBC,West Bengal,"Govt Med Coll, Rampurhat",MBBS,9000,18283(4),22841(4),24310(6)
AI,OBC,Jammu and Kashmir,"Government Med Coll, Baramulla",MBBS,37636,17373(4),21469(6),24333(6)
AI,Open,Telangana,"Government Med Coll,Mahabubabad",MBBS,14000,19605(10),23261(10),24348(10)
AI,EWS,Odisha,"Govt Med Coll, Balangir",MBBS,22000,20482(2),24361(2),24361(2)
AI,Open,Odisha,"Saheed Laxman Nayak, Koraput",MBBS,22000,15676(7),22866(7),24372(7)
AI,Open,Jammu and Kashmir,"Government Med Coll, Handwara",MBBS,34215,17543(5),21995(5),24396(5)
AI,OBC,Telangana,"Government Med Coll,Mahabubabad",MBBS,14000,20335(5),23719(5),24403(5)
AI,EWS,Maharashtra,"Govt Med Coll, Chandrapur",MBBS,158600,17316(2),22338(2),24425(2)
AI,EWS,Telangana,"Govt Med Coll, Siddipet",MBBS,14000,20415(2),24438(2),24438(2)
AI,Open,Maharashtra,"Government Med Coll, Washim",MBBS,158600,18359(6),21580(6),24466(6)
AI,Open,Karnataka,Chitradurga Medical College,MBBS,64350,16313(8),22335(8),24472(8)
AI,EWS,Maharashtra,"Government Med Coll, Buldhana",MBBS,158600,20968(1),24487(1),24487(1)
AI,EWS,Kerala,"Medical College, Trivandrum",MBBS,23150,8450(4),19161(4),24538(4)
AI,OBC,West Bengal,Jalpaiguri Govt Med Coll,MBBS,9000,18810(4),23286(4),24544(4)
AI,EWS,Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",MBBS,50000,18477(2),22043(2),24545(2)
AI,Open,Maharashtra,"Government Med Coll, Hingoli",MBBS,158600,18639(5),20847(5),24562(5)
AI,OBC,Chhattisgarh,"Government Med Coll, Mahasamund",MBBS,50000,18369(5),22958(5),24565(5)
AI,OBC,Odisha,"Government Med Coll, Keonjhar",MBBS,22000,19116(5),23905(5),24566(5)
AI,EWS,Odisha,"Saheed Laxman Nayak, Koraput",MBBS,22000,20535(2),24577(2),24577(2)
AI,EWS,West Bengal,"Jhargram Govt Med Coll,Jhargram",MBBS,9000,20542(1),24588(1),24588(1)
AI,Open,Andhra Pradesh,"Govt Med Coll, Rajamahendravaram",MBBS,15000,18768(8),22637(8),24601(8)
AI,Open,Gujarat,"Govt Med Coll (GMERS), Panchmahal",MBBS,375000,17630(8),22204(8),24610(8)
AI,OBC,Chhattisgarh,"Govt Med Coll, Kanker",MBBS,50000,18938(4),22865(4),24614(4)
AI,Open,Andhra Pradesh,"Government Med Coll, Eluru",MBBS,15000,18587(9),23147(9),24616(9)
AI,Open,Assam,"Fakhruddin Ali Ahmed, Barpeta",MBBS,6400,18466(7),23677(7),24634(7)
AI,OBC,West Bengal,"Govt Med Coll, Raiganj",MBBS,9000,18300(4),22936(4),24635(6)
AI,Open,Andhra Pradesh,"Government Med Coll, Nandyal",MBBS,15000,18974(9),23089(9),24637(9)
AI,Open,Assam,"Tezpur Med Coll, Tezpur",MBBS,6400,17344(5),23348(5),24646(5)
AI,OBC,Telangana,"Govt Med Coll, Nagarkurnool",MBBS,14000,19721(5),23474(5),24658(5)
AI,Open,Telangana,"Govt Med Coll, Yadadri",MBBS,14000,18193(2),23048(2),24680(2)
AI,EWS,Telangana,"Rajiv Gandhi IMS, Adilabad",MBBS,14000,19688(2),22983(2),24686(2)
AI,OBC,Maharashtra,"Government Med Coll, Gadchiroli",MBBS,158600,19118(4),21738(4),24728(4)
AI,OBC,Chhattisgarh,"Government Med Coll, Korba",MBBS,50000,19269(5),23139(5),24748(5)
AI,Open,Telangana,"Government Med Coll, Jagtial",MBBS,14000,19790(6),23832(6),24749(6)
AI,Open,Telangana,"Government Med Coll, Karimnagar",MBBS,14000,18723(6),22982(6),24755(6)
AI,Open,Telangana,"Government Med Coll, Wanaparthy",MBBS,14000,20296(8),23784(8),24769(8)
AI,OBC,Assam,"Silchar Med Coll, Silchar",MBBS,6400,17257(5),22840(7),24771(7)
AI,Open,Telangana,"Government Med Coll, Kamareddy",MBBS,14000,19972(7),23940(7),24777(7)
AI,EWS,West Bengal,"Prafulla CS Govt Med, Arambagh",MBBS,9000,20938(2),24034(2),24782(2)
AI,OBC,Maharashtra,"Government Med Coll, Hingoli",MBBS,158600,19403(3),21490(3),24793(3)
AI,Open,Odisha,"Pabitra Mohan Pradhan MedColl&Hosp,Talcher",MBBS,22000,-,24234(5),24812(5)
AI,Open,Meghalaya,"NEIGRIHMS, Shillong",MBBS,16600,10679(8),22185(12),24859(12)
AI,Open,Telangana,"Govt Med Coll, Rajanna Sircilla",MBBS,14000,17968(6),21984(6),24900(6)
AI,EWS,Karnataka,"Hassan IMS, Hassan",MBBS,64350,16784(2),22768(2),24903(2)
AI,OBC,Karnataka,"Yadgiri Inst of Med Sci,Yadgiri",MBBS,64350,17557(6),22698(6),24916(6)
AI,OBC,Karnataka,Chitradurga Medical College,MBBS,64350,17154(6),22562(6),24928(6)
AI,EWS,Karnataka,"Shimoga IMS, Shimoga",MBBS,64350,18024(2),21762(2),24929(2)
AI,OBC,Maharashtra,"Government Med Coll, Washim",MBBS,158600,19526(3),21986(3),24931(3)
AI,Open,Andaman and Nicobar Islands,"Andaman & NicobarIMS,PortBlair",MBBS,59500,12014(5),22090(5),24933(5)
AI,EWS,Jharkhand,"Palamu Medical College, Palamu",MBBS,9200,19273(2),23353(2),24950(2)
AI,OBC,Jammu and Kashmir,"Government Med Coll, Handwara",MBBS,34215,18937(4),22976(4),24951(4)
AI,Open,Gujarat,"GMERS Medical College, Rajpipla",MBBS,375000,18038(7),22292(7),24955(7)
AI,EWS,Karnataka,"Raichur IMS, Raichur",MBBS,64350,15144(1),23817(2),24959(2)
AI,OBC,Assam,"Fakhruddin Ali Ahmed, Barpeta",MBBS,6400,20218(5),23922(5),24960(5)
AI,Open,Telangana,Govt Med Coll Jangaon,MBBS,14000,17116(5),21928(5),24964(5)
AI,OBC,Telangana,"Government Med Coll, Wanaparthy",MBBS,14000,20844(5),24138(5),24977(5)
AI,OBC,Maharashtra,"Government Med Coll, Jalna",MBBS,158600,19458(4),21790(4),24979(4)
AI,EWS,West Bengal,"Govt Med Coll, Raiganj",MBBS,9000,20444(2),24191(2),24993(3)
AI,OBC,West Bengal,"Jhargram Govt Med Coll,Jhargram",MBBS,9000,19687(4),23276(4),24996(4)
AI,OBC,Gujarat,"Govt Med Coll (GMERS), Porbandar",MBBS,375000,18744(4),22682(4),25007(4)
AI,EWS,West Bengal,Purulia Govt Med Coll,MBBS,9000,19558(1),23307(1),25011(1)
AI,Open,Odisha,Government Med Coll Bhawanipatna,MBBS,22000,18070(7),23460(7),25048(7)
AI,EWS,Maharashtra,"Govt Med Coll, Gondia",MBBS,158600,18457(3),22645(3),25054(3)
AI,Open,Telangana,Govt Med Coll Narsampet,MBBS,14000,18763(2),23442(2),25073(2)
AI,Open,Andhra Pradesh,Govt Med Coll Machilipatnam,MBBS,15000,18990(8),23359(8),25075(8)
AI,OBC,Assam,"Tezpur Med Coll, Tezpur",MBBS,6400,20306(6),23880(6),25090(6)
AI,Open,Telangana,"Government Med Coll, Mancherial",MBBS,14000,20063(5),24016(5),25091(5)
AI,OBC,Andhra Pradesh,"Govt Med Coll, Rajamahendravaram",MBBS,15000,19531(6),23217(6),25093(6)
AI,EWS,West Bengal,"Govt Med Coll, Rampurhat",MBBS,9000,19830(2),24587(2),25107(3)
AI,EWS,West Bengal,Jalpaiguri Govt Med Coll,MBBS,9000,21857(2),23480(2),25119(2)
AI,OBC,Andhra Pradesh,"Government Med Coll, Eluru",MBBS,15000,19856(5),23564(5),25120(5)
