State,Institute,Course,Quota,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
Karnataka,"Haveri Inst of Med Sci, Haveri",MBBS,AI,64350,330,1,1500000,30000
Karnataka,"KIMS, Hubli",MBBS,AI,64350,1200,1,1500000,30000
Karnataka,Karwar Inst of Med Sciences,MBBS,AI,64350,650,1,1500000,30000
Karnataka,Kodagu Inst of Med Sciences,MBBS,AI,64350,600,1,1500000,30000
Karnataka,"Koppal Inst of MS, Koppal",MBBS,AI,64350,Info Not Available,1,1500000,30000
Karnataka,"Mandya IMS, Mandya",MBBS,AI,64350,850,1,1500000,30000
Karnataka,"Mysore Med Coll, Mysore",MBBS,AI,64350,1050,1,1500000,30000
Karnataka,"Raichur IMS, Raichur",MBBS,AI,64350,500,1,1500000,30000
Karnataka,"Shimoga IMS, Shimoga",MBBS,AI,64350,950,1,1500000,30000
Bihar,"ESIC Med Coll, Patna",MBBS,AI,100000,Info Not Available,1,500000,26300
Karnataka,"Shri Atal Bihari Vajpayee, BLR",MBBS,AI,64350,956,1,1500000,30000
Karnataka,"VIMS, Bellary",MBBS,AI,64350,1295,1,1500000,30000
Karnataka,"Yadgiri Inst of Med Sci,Yadgiri",MBBS,AI,64350,450,1,1500000,30000
Kerala,"Academy of Med Sci, Pariyaram",MBBS,AI,23150,1752,0,0,27300
Kerala,"Govt Med Coll, Ernakulam",MBBS,AI,23150,700,0,0,27300
Kerala,"Government Med Coll, Idukki",MBBS,AI,23150,Info Not Available,0,0,27300
Kerala,"Government Medical Coll, Konni",MBBS,AI,23150,500,0,0,27300
Kerala,"Govt Med Coll, Kottayam",MBBS,AI,23150,2094,0,0,27300
Kerala,"Govt Med Coll, Kozhikode",MBBS,AI,23150,3025,0,0,27300
Kerala,"Govt Med Coll, Manjeri",MBBS,AI,23150,500,0,0,27300
Kerala,"Govt Med Coll, Thrissur",MBBS,AI,23150,1400,0,0,27300
Kerala,"Govt Med Coll, Palakkad",MBBS,AI,23150,Info Not Available,0,0,27300
Kerala,"Medical College, Trivandrum",MBBS,AI,23150,2126,0,0,27300
Kerala,"TD Med Coll, Allepey",MBBS,AI,23150,1050,0,0,27300
Madhya Pradesh,"Atal Bihari Vajpayee, Vidisha",MBBS,AI,100000,300,1,1000000,13409
Madhya Pradesh,"Bundelkhand Med Coll, Sagar",MBBS,AI,100000,750,1,1000000,13409
Madhya Pradesh,"Gaja Raja Med Coll, Gwalior",MBBS,AI,100000,1100,1,1000000,13409
Madhya Pradesh,"Gandhi Med Coll, Bhopal",MBBS,AI,100000,1135,1,1000000,13409
Madhya Pradesh,"Govt Med Coll, Chhindwara",MBBS,AI,100000,600,1,1000000,13409
Madhya Pradesh,"Govt Med Coll, Datia",MBBS,AI,100000,540,1,1000000,13409
Madhya Pradesh,"Govt Med Coll, Ratlam",MBBS,AI,100000,300,1,1000000,13409
Madhya Pradesh,"Government Med Coll, Satna",MBBS,AI,100000,Info Not Available,1,1000000,13409
Madhya Pradesh,"Govt Med Coll, Shivpuri",MBBS,AI,100000,520,1,1000000,13409
Madhya Pradesh,"MGM Med Coll, Indore",MBBS,AI,100000,1300,1,1000000,13409
Madhya Pradesh,"NSC Bose Med Coll, Jabalpur",MBBS,AI,100000,1150,1,1000000,13409
Madhya Pradesh,"SSMC, Rewa",MBBS,AI,100000,1140,1,1000000,13409
Madhya Pradesh,"Govt Med Coll, Khandwa",MBBS,AI,100000,Info Not Available,1,1000000,13409
Madhya Pradesh,"Govt Med Coll, Shahdol, MP",MBBS,AI,100000,300,1,1000000,13409
Madhya Pradesh,"Govt Med Coll, Seoni",MBBS,AI,100000,650,1,1000000,13409
Madhya Pradesh,"Govt Med Coll, Mandsaur",MBBS,AI,100000,564,1,1000000,13409
Madhya Pradesh,"Govt Med Coll, Neemuch",MBBS,AI,100000,Info Not Available,1,1000000,13409
Maharashtra,"BJMC, Pune",MBBS,AI,158600,1296,1,1000000,18000
Maharashtra,"VMMC, Solapur",MBBS,AI,158600,763,1,1000000,18000
Maharashtra,"Govt Med Coll, Nanded",MBBS,AI,158600,750,1,1000000,18000
Maharashtra,"Government Med Coll, Gadchiroli",MBBS,AI,158600,26,1,1000000,18000
Maharashtra,"Govt Med Coll, Baramati",MBBS,AI,158600,310,1,1000000,18000
Maharashtra,Government Med Coll Ratnagiri,MBBS,AI,158600,Info Not Available,1,1000000,18000
