State,Institute,Course,Quota,Category,Fee,CR 2025 1,CR 2025 2,CR 2025 3,CR 2025 4
Uttar Pradesh,"SGPGI, Lucknow",RADIO DIAGNOSIS,AIQ,OBC,"₹ 35,000",343,383,383,-
Gujarat,"BJMC, Ahmedabad",RADIO DIAGNOSIS,AIQ,GEN,"₹ 30,000",203,203,388,-
Delhi,"UCMS, Delhi",GENERAL MEDICINE,AIQ,EWS,"₹ 47,220",390,390,390,-
Kerala,"Medical College, Trivandrum",RADIO DIAGNOSIS,AIQ,OBC,"₹ 69,470",218,395,395,-
Rajasthan,"SNMC, Jodhpur",RADIO DIAGNOSIS,AIQ,OBC,"₹ 14,093",397,397,397,-
Rajasthan,"SMS, Jaipur",DERMATOLOGY,AIQ,GEN,"₹ 14,093",398,398,398,-
Telangana,"ESIC Med Coll,Sanath Nagar",RADIO DIAGNOSIS,AIQ,GEN,"₹ 2,50,000",400,400,400,-
Haryana,"ESIC Med Coll, Faridabad",RADIO DIAGNOSIS,AIQ,GEN,"₹ 2,50,000",402,402,402,-
Maharashtra,"Seth GS, Mumbai",DERMATOLOGY,AIQ,OBC,"₹ 1,57,100",405,405,405,-
Odisha,"SCB, Cuttack",GENERAL MEDICINE,AIQ,GEN,"₹ 35,000",407,407,407,-
Delhi,"Lady Hardinge, Delhi",GENERAL MEDICINE,AIQ,EWS,"₹ 16,200",239,239,408,-
Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,OBC,"₹ 50,000",409,409,409,-
Uttar Pradesh,"KGMU, Lucknow",RADIO DIAGNOSIS,AIQ,GEN,"₹ 54,700",274,410,410,-
Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,ST,"₹ 15,000",411,411,411,-
Uttar Pradesh,"Dr RML IMS, Lucknow",RADIO DIAGNOSIS,AIQ,GEN,"₹ 35,000",410,414,414,-
Kerala,"Govt Med Coll, Thrissur",DERMATOLOGY,AIQ,GEN,"₹ 69,470",422,422,422,-
Rajasthan,"SMS, Jaipur",RADIO DIAGNOSIS,AIQ,EWS,"₹ 14,093",423,423,423,-
Delhi,"MAMC, Delhi",RADIO DIAGNOSIS,DU,GEN,"₹ 16,200",427,427,427,-
Delhi,"Sir Ganga Ram Hospital, Delhi",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"₹ 1,25,000",384,428,428,-
Uttar Pradesh,"IMS(BHU), Varanasi",DERMATOLOGY,AIQ,OBC,"₹ 48,226",432,432,432,-
Kerala,"Govt Med Coll, Kottayam",GENERAL MEDICINE,AIQ,GEN,"₹ 69,470",200,443,443,-
Delhi,"VMMC, Delhi",GENERAL SURGERY,AIQ,GEN,"₹ 15,000",322,349,451,-
Telangana,"Osmania Med Coll, Hyderabad",RADIO DIAGNOSIS,AIQ,EWS,"₹ 15,000",463,463,463,-
Gujarat,"BJMC, Ahmedabad",GENERAL MEDICINE,AIQ,EWS,"₹ 30,000",473,473,473,-
Kerala,"Govt Med Coll, Kottayam",RADIO DIAGNOSIS,AIQ,GEN,"₹ 69,470",184,476,476,-
Chandigarh,"GMC, Chandigarh",DERMATOLOGY,AIQ,SC,"₹ 34,500",477,477,477,-
Delhi,"Sir Ganga Ram Hospital, Delhi",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,"₹ 1,25,000",475,484,484,-
Delhi,"Lady Hardinge, Delhi",RADIO DIAGNOSIS,DU,GEN,"₹ 16,200",491,491,491,-
Delhi,"Lady Hardinge, Delhi",DERMATOLOGY,AIQ,EWS,"₹ 16,200",492,492,492,-
Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL SURGERY,AIQ,GEN,"₹ 51,000",419,456,494,-
Maharashtra,"Tata Memorial, Mumbai",NUCLEAR MEDICINE,AIQ,GEN,"₹ 1,05,500",386,568,500,-
Maharashtra,"BJMC, Pune",DERMATOLOGY,AIQ,GEN,"₹ 1,57,100",387,506,506,-
