S. No.,State,Management of college,College Name,Course Name,Seats
7184,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MD - Pathology,15
7185,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MD - Pharmacology,12
7186,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MD - Physiology,5
7187,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MD - Psychiatry,3
7188,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MD - Radio Diagnosis/Radiology,11
7189,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MD - Radiotherapy/ Radiation Oncology,4
7190,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh","MD - Social & Preventive Medicine / Community
Medicine",11
7191,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",6
7192,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MS - ENT,6
7193,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MS - General Surgery,21
7194,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MS - Obstetrics & Gynaecology,17
7195,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MS - Opthalmology,13
7196,Uttar Pradesh,Govt,"Jawaharlal Nehru Medical College, Aligarh",MS-Orthopaedics,14
7197,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura","MD - Dermatology , Venereology & Leprosy",2
7198,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MD - Pathology,4
7199,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MD - General Medicine,3
7200,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MD - Psychiatry,2
7201,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MD - Respiratory Medicine,2
7202,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MD - Radio Diagnosis,2
7203,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MS - Opthalmology,2
7204,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MS - Obstetrics & Gynaecology,3
7205,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MS - General Surgery,12
7206,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MS - Orthopaedics,5
7207,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MS - Otorhinolaryngology,6
7208,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MD - Emergency Medicine,6
7209,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MD - Paediatrics,2
7210,Uttar Pradesh,Society,"K.D. Medical College Hospital & Research Centre, Mathura",MD - Anaesthesiology,4
7211,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Anatomy,15
7212,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Community Medicine,10
7213,Uttar Pradesh,Govt,"King George Medical University, Lucknow","MD - Forensic Medicine/Forensic Medicine &
Toxicology",9
7214,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Hospital Administration,2
7215,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Microbiology,15
7216,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Pathology,20
7217,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Physiology,18
7218,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Pharmacology,26
7219,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Bio-Chemistry,2
7220,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Anesthesiology,42
7221,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Radio Diagnosis,9
7222,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Transfusion Medicine,3
7223,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - General Medicine,28
7224,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MS - General Surgery,24
7225,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MS - Obstetrics & Gynaecology,30
7226,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MS -Ophthamology,8
7227,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MS - Orthopaedics,16
7228,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Paediatrics,24
7229,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD PMR,4
7230,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Psychiatry,12
7231,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Radiotherapy/ Radiation Oncology,6
7232,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Respiratory Medicine,15
7233,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MS - ENT,5
7234,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MS - Traumatology & Surgery,5
7235,Uttar Pradesh,Govt,"King George Medical University, Lucknow",MD - Emergency Medicine,5
7236,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura",MD - Paediatrics,8
7237,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura",MD - Anaesthesiology,4
7238,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura",MD - Psychiatry,6
7239,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura","MD - Dermatology , Venereology & Leprosy",6
7240,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura",MS - Orthopaedics,4
7241,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura",MD - Pathology,6
7242,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura",MS - ENT,6
