S. No.,State,Management of college,College Name,Course Name,Seats
1609,Haryana,Pvt,"Al Falah School of Medical Sciences & Research Centre, Faridabad",MD- Biochemistry,5
1610,Haryana,Pvt,"Al Falah School of Medical Sciences & Research Centre, Faridabad",MD - Anaesthesiology,10
1611,Haryana,Pvt,"Al Falah School of Medical Sciences & Research Centre, Faridabad",MD - Pathology,8
1612,Haryana,Pvt,"Al Falah School of Medical Sciences & Research Centre, Faridabad","MD - Dermatology , Venereology & Leprosy",3
1613,Haryana,Pvt,"Al Falah School of Medical Sciences & Research Centre, Faridabad",MD - General Medicine,8
1614,Haryana,Pvt,"Al Falah School of Medical Sciences & Research Centre, Faridabad",MD - Paediatrics,2
1615,Haryana,Pvt,"Al Falah School of Medical Sciences & Research Centre, Faridabad",MD - Microbiology,4
1616,Haryana,Pvt,"Al Falah School of Medical Sciences & Research Centre, Faridabad",MD - Physiology,5
1617,Haryana,Pvt,"Al Falah School of Medical Sciences & Research Centre, Faridabad",MD - Community Medicine,7
1618,Haryana,Govt,"BPS Government Medical College for Women, Sonepat",MD - Physiology,4
1619,Haryana,Govt,"BPS Government Medical College for Women, Sonepat",MD - Anatomy,3
1620,Haryana,Govt,"BPS Government Medical College for Women, Sonepat",MD - Pathology,6
1621,Haryana,Govt,"BPS Government Medical College for Women, Sonepat","MD - Forensic Medicine/Forensic Medicine &
Toxicology",4
1622,Haryana,Govt,"BPS Government Medical College for Women, Sonepat","MD - Social & Preventive Medicine / Community
Medicine",5
1623,Haryana,Govt,"BPS Government Medical College for Women, Sonepat",MD - Pharmacology,3
1624,Haryana,Govt,"BPS Government Medical College for Women, Sonepat",MD - Bio-Chemistry,3
1625,Haryana,Govt,"Command Hospital,Chandimandir",MD - General Medicine,2
1626,Haryana,Govt,"Command Hospital,Chandimandir",MS - General Surgery,3
1627,Haryana,Govt,"Command Hospital,Chandimandir",MS - Ophthalmology,2
1628,Haryana,Govt,"Command Hospital,Chandimandir",MD - Anaesthesiology,2
1629,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MS - Otorhinolaryngology,3
1630,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Pathology,3
1631,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MS - Ophthalmology,3
1632,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Immuno Haematology & Blood Transfusion,2
1633,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Forensic Medicine,2
1634,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Physiology,3
1635,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MS - Orthopaedics,2
1636,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Anatomy,3
1637,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Microbiology,3
1638,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Pharmacology,3
1639,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Bio-Chemistry,4
1640,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Paediatrics,5
1641,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Emergency Medicine,4
1642,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Psychiatry,2
1643,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MS - General Surgery,8
1644,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MS - Obstetrics & Gynaecology,8
1645,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad","MD - Dermatology , Venereology & Leprosy",1
1646,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Respiratory Medicine,2
1647,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Radiology,5
1648,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - General Medicine,8
1649,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Physical Medicine & Rehabilitation,3
1650,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Anaesthesiology,7
1651,Haryana,Govt,"Employees State Insurance Corporation Medical College, Faridabad",MD - Community Medicine,3
1652,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MS - Orthopaedics,4
1653,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)","MD - Forensic Medicine/Forensic Medicine &
Toxicology",2
1654,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MD - Bio-Chemistry,3
1655,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MS - Obstetrics & Gynaecology,3
1656,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)","MD - Social & Preventive Medicine / Community
Medicine",4
1657,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MD - Radio Diagnosis/Radiology,6
1658,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MD - General Medicine,8
1659,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MS - Ophthalmology,2
1660,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MD - Anatomy,2
1661,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)","MD - Dermatology , Venereology & Leprosy",2
1662,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MD - Physiology,2
1663,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MD - Pharmacology,3
1664,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MD - Pathology,5
1665,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MS - ENT,2
1666,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MD - Psychiatry,2
1667,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",2
1668,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MD - Microbiology,2
1669,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MD - Anaesthesiology,6
1670,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MD - Paediatrics,4
1671,Haryana,Trust,"Faculty of Medicine and Health Sciences, Gurgaon (Formarly SGGST Medical
College & R Centre,Gurgaon)",MS - General Surgery,8
1672,Haryana,Govt,"Kalpana Chawala Govt. Medical College, Karnal, Haryana",MD - Paediatrics,2
1673,Haryana,Govt,"Kalpana Chawala Govt. Medical College, Karnal, Haryana",MD - Bio-Chemistry,4
1674,Haryana,Govt,"Kalpana Chawala Govt. Medical College, Karnal, Haryana",MD - Pharmacology,2
1675,Haryana,Govt,"Kalpana Chawala Govt. Medical College, Karnal, Haryana",MD - Forensic Medicine,2
1676,Haryana,Govt,"Kalpana Chawala Govt. Medical College, Karnal, Haryana",MD - Physiology,3
1677,Haryana,Govt,"Kalpana Chawala Govt. Medical College, Karnal, Haryana",MD - Anatomy,4
1678,Haryana,Govt,"Kalpana Chawala Govt. Medical College, Karnal, Haryana",MD - Microbiology,4
1679,Haryana,Trust,"Maharaja Agrasen Medical College, Agroha",MD - Physiology,2
1680,Haryana,Trust,"Maharaja Agrasen Medical College, Agroha",MD - Microbiology,2
1681,Haryana,Trust,"Maharaja Agrasen Medical College, Agroha","MD - Forensic Medicine/Forensic Medicine &
Toxicology",2
1682,Haryana,Trust,"Maharaja Agrasen Medical College, Agroha",MS - Ophthalmology,3
1683,Haryana,Trust,"Maharaja Agrasen Medical College, Agroha",MD - Anatomy,2
1684,Haryana,Trust,"Maharaja Agrasen Medical College, Agroha",MD - Pharmacology,2
1685,Haryana,Trust,"Maharaja Agrasen Medical College, Agroha",MS - General Surgery,10
1686,Haryana,Trust,"Maharaja Agrasen Medical College, Agroha",MD - Pathology,8
1687,Haryana,Trust,"Maharaja Agrasen Medical College, Agroha",MS - Orthopaedics,7
1688,Haryana,Trust,"Maharaja Agrasen Medical College, Agroha",MD - Anaesthesiology,9
1689,Haryana,Trust,"Maharaja Agrasen Medical College, Agroha","MD - Social & Preventive Medicine / Community
Medicine",2
1690,Haryana,Trust,"Maharaja Agrasen Medical College, Agroha",MD - Bio-Chemistry,3
1691,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",4
1692,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MD - Psychiatry,3
1693,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MS - General Surgery,16
1694,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala","MD - Forensic Medicine/Forensic Medicine &
Toxicology",3
1695,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala","MD - Social & Preventive Medicine / Community
Medicine",5
1696,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MD - Anatomy,4
1697,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MD - Pathology,10
1698,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MD - Pharmacology,3
1699,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala","MD - Dermatology , Venereology & Leprosy",4
1700,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MD - Bio-Chemistry,3
1701,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MD - Paediatrics,9
1702,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MD - Radio Diagnosis/Radiology,14
1703,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MS - Orthopaedics,9
1704,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MS - Ophthalmology,4
1705,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MD - Microbiology,3
1706,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MD - General Medicine,19
1707,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MD - Physiology,5
1708,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MS - Obstetrics & Gynaecology,9
1709,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MD - Anaesthesiology,14
1710,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MS - ENT,4
1711,Haryana,Trust,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana,
Ambala",MD - Radiotherapy/ Radiation Oncology,2
1712,Haryana,Trust,"N.C. Medical College & Hospital, Panipat",MS - Obstetrics & Gynaecology,2
1713,Haryana,Trust,"N.C. Medical College & Hospital, Panipat",MS - General Surgery,5
1714,Haryana,Trust,"N.C. Medical College & Hospital, Panipat",MD - Paediatrics,5
1715,Haryana,Trust,"N.C. Medical College & Hospital, Panipat",MD - General Medicine,2
1716,Haryana,Trust,"N.C. Medical College & Hospital, Panipat",MS - Orthopaedics,2
1717,Haryana,Trust,"N.C. Medical College & Hospital, Panipat",MS - Ophthalmology,2
1718,Haryana,Trust,"N.C. Medical College & Hospital, Panipat",MS - Otorhinolaryngology,2
1719,Haryana,Trust,"N.C. Medical College & Hospital, Panipat",MD - Microbiology,3
1720,Haryana,Trust,"N.C. Medical College & Hospital, Panipat",MD - Anaesthesiology,2
1721,Haryana,Trust,"N.C. Medical College & Hospital, Panipat",MD - Radio Diagnosis,2
1722,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - Paediatrics,15
1723,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MS - General Surgery,18
1724,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MS - ENT,5
1725,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - Sports Medicine,2
1726,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - Psychiatry,10
1727,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MS - Obstetrics & Gynaecology,20
1728,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MS - Orthopaedics,12
1729,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - Radio Diagnosis/Radiology,9
1730,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - Pharmacology,6
1731,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - Radiotherapy/ Radiation Oncology,6
1732,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",5
1733,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - Anatomy,4
1734,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - Physiology,8
1735,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - Microbiology,4
1736,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - Pathology,14
1737,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","MD - Forensic Medicine/Forensic Medicine &
Toxicology",5
1738,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - General Medicine,18
1739,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - Anaesthesiology,44
1740,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MS - Ophthalmology,10
1741,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)",MD - Bio-Chemistry,9
1742,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","MD - Social & Preventive Medicine / Community
Medicine",10
1743,Haryana,Govt,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","MD - Dermatology , Venereology & Leprosy",5
1744,Haryana,Govt,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar",MD - Pharmacology,3
1745,Haryana,Govt,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar",MD - Bio-Chemistry,3
1746,Haryana,Govt,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar",MD - Anatomy,3
1747,Haryana,Govt,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar",MD - Physiology,3
1748,Haryana,Govt,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar",MD - Microbiology,3
1749,Haryana,Govt,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","MD - Forensic Medicine/Forensic Medicine &
Toxicology",3
1750,Haryana,Govt,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar","MD - Social & Preventive Medicine / Community
Medicine",3
1751,Haryana,Govt,"Shaheed Hasan Khan Mewati Government Medical College, Nalhar",MD - Pathology,6
1752,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana",MS - Ophthalmology,2
1753,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana",MD - Radio Diagnosis,4
1754,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana",MS - ENT,3
1755,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana",MD - Anaesthesiology,9
1756,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana",MD - Paediatrics,4
1757,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana",MS - Orthopaedics,3
1758,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana",MD - Psychiatry,3
1759,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana",MS - Obstetrics and Gynaecology,7
1760,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana",MS - General Surgery,10
1761,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana",MD - General Medicine,3
1762,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana",MD - Emergency Medicine,3
1763,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana","MD - Dermatology , Venereology & Leprosy",2
1764,Haryana,Trust,"World College of Medical Sciences & Researc, Jhajjar, Haryana",MD - Respiratory Medicine,3
1765,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MD - Psychiatry,3
1766,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MS - ENT,5
1767,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MD - Paediatrics,11
1768,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MD - Anaesthesiology,13
1769,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MS - Ophthalmology,4
1770,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P","MD - Social & Preventive Medicine / Community
Medicine",4
1771,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MS - General Surgery,7
1772,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MD - Radio Diagnosis/Radiology,3
1773,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P","MD - Forensic Medicine/Forensic Medicine &
Toxicology",2
1774,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P","MD - Dermatology , Venereology & Leprosy",3
1775,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MD - Anatomy,2
1776,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MD - Pharmacology,3
1777,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MS - Obstetrics & Gynaecology,15
1778,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MD - Microbiology,3
1779,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MD - Pathology,3
1780,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MD - Bio-Chemistry,2
1781,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MD - General Medicine,10
1782,Himachal Pradesh,Govt,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",MS - Orthopaedics,6
1783,Himachal Pradesh,Govt,"Government Medical College, Nahan, Sirmour H.P.",MD - Community Medicine,3
1784,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",Diploma in Radio-Diagnosis,0
1785,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MD - Physiology,3
1786,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MD - Anatomy,2
1787,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MD - Paediatrics,15
1788,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla","MD - Social & Preventive Medicine / Community
Medicine",4
1789,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MS - General Surgery,15
1790,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MS - ENT,5
1791,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",Diploma in Orthopaedics,0
1792,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MD - Radio Diagnosis/Radiology,15
1793,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MS - Obstetrics & Gynaecology,13
1794,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",Diploma in Anaesthesia,0
1795,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla","MD - Dermatology , Venereology & Leprosy",3
1796,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MD - Anaesthesiology,17
1797,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MD - Microbiology,3
1798,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MD - Radiotherapy/ Radiation Oncology,4
1799,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MS - Ophthalmology,4
1800,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",Diploma in Oto-Rhino-Laryngology,0
1801,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MS - Orthopaedics,6
1802,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MD - General Medicine,15
1803,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla","MD - Forensic Medicine/Forensic Medicine &
Toxicology",1
1804,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",Diploma in Clinical Pathology,0
1805,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",3
1806,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MD - Psychiatry,3
1807,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",Diploma in Child Health,0
1808,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MD - Pharmacology,2
1809,Himachal Pradesh,Govt,"Indira Gandhi Medical College, Shimla",MD - Pathology,6
1810,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan","MD - Social & Preventive Medicine / Community
Medicine",3
1811,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",2
1812,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MD - Bio-Chemistry,3
1813,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MD - Pharmacology,3
1814,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MS - General Surgery,10
1815,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MS - Orthopaedics,6
1816,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MD - Psychiatry,2
1817,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MD - General Medicine,10
1818,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MS - ENT,2
1819,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MS - Ophthalmology,2
1820,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MD - Radio Diagnosis/Radiology,7
1821,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MD - Pathology,5
1822,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan","MD - Forensic Medicine/Forensic Medicine &
Toxicology",3
1823,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MD - Anatomy,3
1824,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MD - Anaesthesiology,10
1825,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MS - Obstetrics & Gynaecology,6
1826,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MD - Microbiology,3
1827,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MD - Physiology,3
1828,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan",MD - Paediatrics,6
1829,Himachal Pradesh,Trust,"Maharishi Markandeshwar Medical College & Hospital, Solan","MD - Dermatology , Venereology & Leprosy",3
1830,Himachal Pradesh,Govt,"Shri Lal Bahadur Shastri Government Medical College, Mandi, HP",MD - Microbiology,4
1831,Himachal Pradesh,Govt,"Shri Lal Bahadur Shastri Government Medical College, Mandi, HP",MD - Pharmacology,2
1832,Jammu & Kashmir,Trust,"Acharya Shri Chander College of Medical Sciences, Jammu",MS - General Surgery,4
1833,Jammu & Kashmir,Trust,"Acharya Shri Chander College of Medical Sciences, Jammu",MD - Psychiatry,3
1834,Jammu & Kashmir,Trust,"Acharya Shri Chander College of Medical Sciences, Jammu",MS - ENT,3
1835,Jammu & Kashmir,Trust,"Acharya Shri Chander College of Medical Sciences, Jammu",MD - Microbiology,3
1836,Jammu & Kashmir,Trust,"Acharya Shri Chander College of Medical Sciences, Jammu",MS - Ophthalmology,3
1837,Jammu & Kashmir,Trust,"Acharya Shri Chander College of Medical Sciences, Jammu",MD - Anaesthesiology,4
1838,Jammu & Kashmir,Trust,"Acharya Shri Chander College of Medical Sciences, Jammu",MD - Bio-Chemistry,3
1839,Jammu & Kashmir,Trust,"Acharya Shri Chander College of Medical Sciences, Jammu",MS - Obstetrics & Gynaecology,4
1840,Jammu & Kashmir,Trust,"Acharya Shri Chander College of Medical Sciences, Jammu",MD - General Medicine,4
1841,Jammu & Kashmir,Trust,"Acharya Shri Chander College of Medical Sciences, Jammu",MD - Paediatrics,4
1842,Jammu & Kashmir,Trust,"Acharya Shri Chander College of Medical Sciences, Jammu",MD - Physiology,3
1843,Jammu & Kashmir,Trust,"Acharya Shri Chander College of Medical Sciences, Jammu",MD - Radio Diagnosis/Radiology,2
1844,Jammu & Kashmir,Govt,"Government Medical College, Jammu",MD - Radio Diagnosis/Radiology,12
1845,Jammu & Kashmir,Govt,"Government Medical College, Jammu",MD - Immuno Haematology & Blood Transfusion,3
1846,Jammu & Kashmir,Govt,"Government Medical College, Jammu",MD - Anaesthesiology,20
1847,Jammu & Kashmir,Govt,"Government Medical College, Jammu",MS - Orthopaedics,16
