STATE,INSTITUTE,COURSE,QUOTA,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1
Andhra Pradesh,"Rajiv Gandhi IMS, Srikakulam",ANAESTHESIOLOGY,AIQ,"₹ 30,000.00",532,0,₹ 0.00,"₹ 60,823.00"
Andhra Pradesh,"Rajiv Gandhi IMS, Ongole",ANAESTHESIOLOGY,AIQ,"₹ 30,000.00",500,0,₹ 0.00,"₹ 60,823.00"
Andhra Pradesh,"Rangaraya Med Coll, Kakinada",ANAESTHESIOLOGY,AIQ,"₹ 30,000.00",1450,0,₹ 0.00,"₹ 60,823.00"
Kerala,"RCC, Thiruvananthapuram",ANAESTHESIOLOGY,AIQ,"₹ 3,00,000.00",432,1,"₹ 50,00,000.00","₹ 57,876.00"
Manipur,"RIMS, Imphal",ANAESTHESIOLOGY,AIQ,"₹ 5,000.00",1074,1,"₹ 20,00,000.00","₹ 1,09,926.00"
West Bengal,"RG Kar Med Coll, Kolkata",ANAESTHESIOLOGY,AIQ,"₹ 12,000.00",1663,3,"₹ 30,00,000.00","₹ 61,634.00"
Uttar Pradesh,"SN Med Coll, Agra",ANAESTHESIOLOGY,AIQ,"₹ 24,000.00",976,2,"₹ 40,00,000.00","₹ 1,10,646.00"
Andhra Pradesh,"SV Med Coll, Tirupati",ANAESTHESIOLOGY,AIQ,"₹ 30,000.00",940,0,₹ 0.00,"₹ 60,823.00"
Uttar Pradesh,"SGPGI, Lucknow",ANAESTHESIOLOGY,AIQ,"₹ 35,000.00",1609,2,"₹ 40,00,000.00","₹ 1,15,506.00"
Rajasthan,"SP Med Coll, Bikaner",ANAESTHESIOLOGY,AIQ,"₹ 14,093.00",1570,2,"₹ 50,00,000.00","₹ 87,216.00"
Odisha,"SCB, Cuttack",ANAESTHESIOLOGY,AIQ,"₹ 35,000.00",2106,2,"₹ 55,09,464.00","₹ 73,042.00"
Maharashtra,"Seth GS, Mumbai",ANAESTHESIOLOGY,AIQ,"₹ 1,57,100.00",2250,1,"₹ 50,00,000.00","₹ 93,559.00"
Uttar Pradesh,"Shaik-ul-Hind, Saharanpur",ANAESTHESIOLOGY,AIQ,"₹ 24,000.00",500,2,"₹ 40,00,000.00","₹ 1,10,646.00"
Jammu and Kashmir,"Sher-I-Kashmir, Srinagar",ANAESTHESIOLOGY,AIQ,"₹ 11,000.00",1200,0,₹ 0.00,"₹ 80,000.00"
Karnataka,"Shimoga IMS, Shimoga",ANAESTHESIOLOGY,AIQ,"₹ 1,23,400.00",950,1,"₹ 50,00,000.00","₹ 56,250.00"
Maharashtra,"Shri VR Naik Govt, Yavatmal",ANAESTHESIOLOGY,AIQ,"₹ 1,57,100.00",756,1,"₹ 50,00,000.00","₹ 93,559.00"
Madhya Pradesh,"SSMC, Rewa",ANAESTHESIOLOGY,AIQ,"₹ 1,01,500.00",1140,1,"₹ 10,00,000.00","₹ 75,444.00"
Assam,"Silchar Med Coll, Silchar",ANAESTHESIOLOGY,AIQ,"₹ 25,900.00",1256,2,"₹ 20,00,000.00","₹ 55,200.00"
